windows_min_Borderlands 2: Headhunter 2: Wattle Gobbler,windows_min_Borderlands 2: Headhunter 2: Wattle Gobbler,windows_req_Borderlands 2: Headhunter 2: Wattle Gobbler,windows_req_Borderlands 2: Headhunter 2: Wattle Gobbler,macos_min_Borderlands 2: Headhunter 2: Wattle Gobbler,macos_min_Borderlands 2: Headhunter 2: Wattle Gobbler,macos_req_Borderlands 2: Headhunter 2: Wattle Gobbler,macos_req_Borderlands 2: Headhunter 2: Wattle Gobbler,linux_min_Borderlands 2: Headhunter 2: Wattle Gobbler,linux_min_Borderlands 2: Headhunter 2: Wattle Gobbler,linux_req_Borderlands 2: Headhunter 2: Wattle Gobbler,linux_req_Borderlands 2: Headhunter 2: Wattle Gobbler
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/win 7,операционная система,10.12 (sierra),операционная система,10.12 (sierra),операционная система,"steamos, ubuntu 14.04",операционная система,—
процессор,2.4 ghz dual core,процессор,2.3 ghz quad core,процессор,2.2 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core,процессор,"intel core 2 quad, amd phenom ii x4",процессор,—
оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce 8500 / ati radeon hd 2600,видео карта,nvidia geforce gtx 560 / ati radeon hd 5850,видео карта,ati radeon hd 2600 / nvidia geforce 8800,видео карта,ati radeon hd 5750 / nvidia geforce 650m,видео карта,nvidia geforce 260,видео карта,—
диск,13 gb,диск,20 gb,диск,13 gb,диск,13 gb,сеть,широкополосное подключение,сеть,—
звуковая карта,directx 9.0c-compatible,звуковая карта,directx 9.0c-compatible,дополнительно,borderlands 2 supports both the microsoft xbox 360 wired gamepad and the playstation 3 dualshock 3 wireless controller.,дополнительно,—,диск,13 gb,диск,—
,,,,supported graphicss,"nvidia geforce 8800, gt 120, 320m, 330m, 640m, 650m, 660m, 675mx, 680mx ati radeon hd 2600, hd 3870, hd 4670, hd 4850, hd 5670, hd 5750, hd 5770, hd 5870, hd 6630, hd 6490, hd ...  6750, hd 6770, hd 6970 intel hd graphics 3000, 4000  еще",supported graphicss,—,дополнительно,don't meet the above requirements? that doesn't mean your configuration wont run borderlands 2. visit the borderlands 2 community page to share your experience with other linux players and learn about how to send bugs ...  to aspyr. your feedback will help us improve borderlands 2 linux and future aaa linux releases!  еще,дополнительно,—
,,,,,,,,,,,
windows_min_Umineko: Golden Fantasia,windows_min_Umineko: Golden Fantasia,windows_req_Umineko: Golden Fantasia,windows_req_Umineko: Golden Fantasia
операционная система,windows xp,операционная система,—
процессор,intel core 2 / core 2 quad/core i3/i5/i7 gpu,процессор,—
оперативная память,3 gb,оперативная память,—
видео карта,nvidia geforce 7600gt/8500gt/9400gt/gt220,видео карта,—
directx,version 9.0c,directx,—
диск,2500 mb,диск,—
,,,
windows_min_Delta Force — Black Hawk Down: Team Sabre,windows_min_Delta Force — Black Hawk Down: Team Sabre
операционная система,"windows xp, vista"
процессор,pentium 4 1.4 ghz or higher
оперативная память,512 mb
видео карта,64 mb 3d card
,
windows_min_Crumble,windows_min_Crumble,windows_req_Crumble,windows_req_Crumble,macos_min_Crumble,macos_min_Crumble,macos_req_Crumble,macos_req_Crumble,linux_min_Crumble,linux_min_Crumble,linux_req_Crumble,linux_req_Crumble
операционная система,windows 7,операционная система,windows 10,операционная система,latest osx,операционная система,—,операционная система,ubuntu 16.04+,операционная система,—
процессор,2ghz dual core,процессор,3.2ghz dual core,процессор,2ghz,процессор,3ghz,процессор,2ghz dual core,процессор,3.2ghz dual core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon hd 2000 / nvidia geforce 510,видео карта,dedicated recommended,,,,,видео карта,radeon hd 2000 / nvidia geforce 510,видео карта,dedicated recommended
directx,version 10,directx,version 10,,,,,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_Sky Noon,windows_min_Sky Noon
операционная система,windows 7
процессор,quad core 2ghz
оперативная память,4 gb
видео карта,nvidia gtx 560
directx,version 11
сеть,широкополосное подключение
,
windows_min_Counter Terrorist Agency,windows_min_Counter Terrorist Agency,windows_req_Counter Terrorist Agency,windows_req_Counter Terrorist Agency
операционная система,mac os x 10.14+,операционная система,mac os x 10.15+
процессор,intel core i5,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris graphics 6200,видео карта,radeon pro 580
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_eXceed - Gun Bullet Children,windows_min_eXceed - Gun Bullet Children
операционная система,"windows vista, xp, windows 7"
процессор,pentium 1.0ghz
оперативная память,128 mb
видео карта,intel 915(900)
directx,8.0
,
windows_min_Loco Parentis / ,windows_min_Loco Parentis / ,windows_req_Loco Parentis / ,windows_req_Loco Parentis / 
операционная система,win 7 or higher,операционная система,win 10
процессор,intel core i5 3 gen or higher,процессор,intel core i5 4 gen or higher
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce 650 (min 2 gb),видео карта,nvidia geforce 1060
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_State of War : Warmonger /  (Classic 2000),windows_min_State of War : Warmonger /  (Classic 2000),windows_req_State of War : Warmonger /  (Classic 2000),windows_req_State of War : Warmonger /  (Classic 2000)
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,pentium 266mhz or faster,процессор,2 ghz intel dual-core or amd equivalent
оперативная память,128 mb,оперативная память,512 mb
видео карта,integrated,видео карта,integrated
directx,version 10,directx,version 10
