windows_min_Raptor: Call of The Shadows - 2015 Edition,windows_min_Raptor: Call of The Shadows - 2015 Edition
операционная система,"windows vista, 7, 8"
процессор,pentium 4 2.4ghz
оперативная память,1 gb
видео карта,intel hd graphics
directx,version 9.0
,
windows_min_Danmaku Unlimited 2,windows_min_Danmaku Unlimited 2
операционная система,"xp, vista, 7, 8"
процессор,2.0 ghz
оперативная память,1 gb
видео карта,gpu with shader model 2.0
,
windows_min_Abasralsa,windows_min_Abasralsa
операционная система,"xp, vista, 7, 8, 10"
процессор,intel dual-core 2ghz or amd dual-core 2ghz
оперативная память,4 gb
видео карта,"nvidia geforce 400 series or amd radeon hd 6000 series, 1gb video card (minimum shader model 2.0)"
directx,version 11
диск,2 gb
,
windows_min_Dragon's Wake,windows_min_Dragon's Wake
операционная система,os x 10.7
процессор,4 ghz
оперативная память,4 gb
,
windows_min_Tribal Hunter,windows_min_Tribal Hunter,windows_req_Tribal Hunter,windows_req_Tribal Hunter
операционная система,windows 8.1,операционная система,windows 10
процессор,dual core 3.0 ghz,процессор,quad-core 3.0 ghz
оперативная память,3 gb,оперативная память,6 gb
видео карта,1 gb video memory,видео карта,2 gb video memory
диск,1 gb,диск,1 gb
,,,
windows_min_Painkiller: Resurrection,windows_min_Painkiller: Resurrection
операционная система,windows xp / vista / 7
процессор,2.4ghz+ (per core)
оперативная память,2gb
видео карта,radeon 3800 / geforce 7800
directx,9.0c (included)
диск,6gb
,
windows_min_The Art of Fight | 4vs4 Fast-Paced FPS,windows_min_The Art of Fight | 4vs4 Fast-Paced FPS,windows_req_The Art of Fight | 4vs4 Fast-Paced FPS,windows_req_The Art of Fight | 4vs4 Fast-Paced FPS
операционная система,windows,операционная система,windows 10
процессор,i5,процессор,i7
,,,
windows_min_God's Trigger,windows_min_God's Trigger,windows_req_God's Trigger,windows_req_God's Trigger
операционная система,windows 7 / 8.1 / 10 (),операционная система,windows 10 ()
процессор,"intel core i5 2,3 ghz or amd equivalent",процессор,"intel core i7 3,0 ghz or amd equivalent"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 560 gtx 2 gb,видео карта,nvidia geforce gtx 970 4 gb
directx,version 11,directx,version 11
диск,9 gb,диск,9 gb
,,,
windows_min_PAYDAY 2: John Wick Weapon Pack,windows_min_PAYDAY 2: John Wick Weapon Pack,windows_req_PAYDAY 2: John Wick Weapon Pack,windows_req_PAYDAY 2: John Wick Weapon Pack
операционная система,windows 7,операционная система,windows 10
процессор,2 ghz intel dual core,процессор,2.3 ghz intel quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia & amd (512mb vram),видео карта,nvidia & amd (1gb vram)
directx,9.0c,directx,9.0c
диск,31 gb hd space,диск,45 gb hd space
,,,
windows_min_Clandestine,windows_min_Clandestine,windows_req_Clandestine,windows_req_Clandestine
операционная система,"windows vista, windows 7, windows 8",операционная система,"windows 7, windows 8, windows 10"
процессор,"intel core 2 duo e8400 or higher, amd phenom x3 8750 or higher",процессор,"intel core i7-3770 or higher, amd fx-8350 or higher"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce 280 gtx or higher, ati radeon hd 4870 or higher, 1 gb videoram",видео карта,"nvidia geforce gtx 660 or higher, ati radeon hd 7950 or higher, 2 gb videoram"
directx,version 9.0c,directx,version 11
,,,
windows_min_KURSK,windows_min_KURSK,windows_req_KURSK,windows_req_KURSK
операционная система,osx yosemite 10.10,операционная система,osx yosemite 10.10
процессор,intel core i5,процессор,"intel core i7, xeon"
оперативная память,8 gb,оперативная память,12 gb
видео карта,radeon r9 380 with 2gb of video,видео карта,for qhd/4k resolutions and vr: radeon pro vega with 8gb of video memory
диск,15 gb,диск,15 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Land of War - The Beginning,windows_min_Land of War - The Beginning,windows_req_Land of War - The Beginning,windows_req_Land of War - The Beginning
операционная система,windows 7 x64,операционная система,windows 10 x64
процессор,i5,процессор,i7
оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx1050ti (4gb),видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
,,,
windows_min_Catch a Lover,windows_min_Catch a Lover,windows_req_Catch a Lover,windows_req_Catch a Lover
операционная система,windows 7 / windows 8 / windows 10,операционная система,windows 7 / windows 8 / windows 10
процессор,intel quad core i3 or amd equivalent,процессор,intel quad core i5 / i7 3.3 ghz or amd equivalent
оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce gtx 560 (1gb) or amd equivalent,видео карта,nvidia geforce gtx 780 ti/970 or amd equivalents
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Putrefaction,windows_min_Putrefaction
операционная система,windows 8 (32/)/windows 7 (32/)/vista
процессор,dual core
оперативная память,1 gb
видео карта,128mb video card with opengl support
directx,version 9.0
,
windows_min_3089 -- Futuristic Action RPG,windows_min_3089 -- Futuristic Action RPG,macos_min_3089 -- Futuristic Action RPG,macos_min_3089 -- Futuristic Action RPG,linux_min_3089 -- Futuristic Action RPG,linux_min_3089 -- Futuristic Action RPG
операционная система,windows xp,операционная система,osx 10.7.3+,операционная система,any distribution supporting java 7+
процессор,dual-core,процессор,dual-core,процессор,dual-core
оперативная память,2 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,dedicated 3d hardware,видео карта,dedicated 3d hardware,видео карта,dedicated 3d hardware
диск,100 mb,диск,100 mb,диск,100 mb
звуковая карта,openal compatible,звуковая карта,openal compatible,звуковая карта,openal compatible
,,,,,
windows_min_MURI,windows_min_MURI
операционная система,windows xp
процессор,"pentium 4 @ 1,5 ghz"
оперативная память,512 mb
directx,version 9.0c
,
windows_min_Scars Above,windows_min_Scars Above,windows_req_Scars Above,windows_req_Scars Above
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4440,процессор,intel core i7-4770k
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 670 / geforce gtx 1050 / amd radeon hd 7870,видео карта,geforce gtx 1070 / geforce rtx 2060 / amd rx vega 56
directx,version 11,directx,version 12
диск,18 gb,диск,20 gb
,,,
windows_min_Immortal Realms: Vampire Wars,windows_min_Immortal Realms: Vampire Wars,windows_req_Immortal Realms: Vampire Wars,windows_req_Immortal Realms: Vampire Wars
операционная система,windows 10,операционная система,—
процессор,quad core 3.2 ghz,процессор,quad core 3.4 ghz
оперативная память,8 gb,оперативная память,—
видео карта,geforce gtx 770 equivalent,видео карта,geforce gtx 1060 6gb
directx,version 11,directx,—
,,,
windows_min_Codename CURE,windows_min_Codename CURE,windows_req_Codename CURE,windows_req_Codename CURE,macos_min_Codename CURE,macos_min_Codename CURE,macos_req_Codename CURE,macos_req_Codename CURE,linux_min_Codename CURE,linux_min_Codename CURE,linux_req_Codename CURE,linux_req_Codename CURE
операционная система,windows 7 (32/)/vista/xp,операционная система,windows 7 (32/) or higher,операционная система,macos x 10.7.x,операционная система,macos x 10.8.x or higher,операционная система,ubuntu 12.04,операционная система,—
процессор,pentium 4 3.0ghz,процессор,intel core 2 duo 2.4ghz or higher,процессор,dual core intel,процессор,"dual core intel, 2ghz",процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—
видео карта,"nvidia geforce 6 series, ati radeon 9600",видео карта,"nvidia geforce 9, ati x1600, intel 4000, or higher",видео карта,"nvidia geforce 8 or higher, ati x1600 or higher, or intel hd 3000 or higher",видео карта,—,видео карта,"nvidia geforce 8 series, ati/amd radeaon hd2600 / 3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,4 gb,диск,4 gb,диск,4 gb,диск,—
,,,,,,,,,,,
