windows_min_Thunder Wolves,windows_min_Thunder Wolves
операционная система,windows xp/vista/7™
процессор,2 ghz single-core
оперативная память,2 gb
видео карта,256mb directx9 compatible video card
directx,9.0c
диск,2 gb hd space
звуковая карта,directx 9.0c compatible
other requirements,широкополосное подключение
,
windows_min_Botology,windows_min_Botology,windows_req_Botology,windows_req_Botology
операционная система,windows 7,операционная система,windows 7
процессор,"dual-core, 2.5 ghz",процессор,"quad core, 3 ghz"
оперативная память,2000 mb,оперативная память,4000 mb
видео карта,any with dx11 support,видео карта,nvidia geforce gtx 560
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_5089: The Action RPG,windows_min_5089: The Action RPG,macos_min_5089: The Action RPG,macos_min_5089: The Action RPG,linux_min_5089: The Action RPG,linux_min_5089: The Action RPG
операционная система,windows 7+,операционная система,osx 10.9+,операционная система,any that supports 3d acceleration & java 8+
процессор,dual-core,процессор,dual-core,процессор,dual-core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,dedicated 3d acceleration (intel hd etc. not supported),видео карта,dedicated 3d acceleration (intel hd etc. not supported),видео карта,dedicated 3d acceleration (intel hd etc. not supported)
диск,250 mb,диск,250 mb,диск,250 mb
звуковая карта,openal supported,звуковая карта,openal support,звуковая карта,openal supported
,,,,,
windows_min_Bubsy Two-Fur,windows_min_Bubsy Two-Fur,windows_req_Bubsy Two-Fur,windows_req_Bubsy Two-Fur
операционная система,windows xp / vista / 7,операционная система,windows 7
процессор,1.0 ghz,процессор,1.5 ghz
оперативная память,512 mb,оперативная память,512 mb
видео карта,100% directx compatible graphics,видео карта,100% directx compatible graphics
диск,10 mb,диск,10 mb
,,,
windows_min_Foregone,windows_min_Foregone,windows_req_Foregone,windows_req_Foregone
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3 2.5ghz,процессор,intel core i5 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660,видео карта,geforce gtx 660
,,,
windows_min_Giana Sisters: Twisted Dreams - Rise of the Owlverlord,windows_min_Giana Sisters: Twisted Dreams - Rise of the Owlverlord,windows_req_Giana Sisters: Twisted Dreams - Rise of the Owlverlord,windows_req_Giana Sisters: Twisted Dreams - Rise of the Owlverlord
операционная система,windows xp,операционная система,windows vista / windows 7 / windows 8
процессор,intel core 2 duo @ 2.8 ghz / amd athlon ii x2 @ 2.8 ghz,процессор,intel core i5 @ 2.66 ghz / amd phenom ii x4 @ 3.0 ghz (or any dual core cpu)
оперативная память,2 gb,оперативная память,3 gb
видео карта,"sm3.0 dx9.0c level hardware (nvidia geforce 6800, ati x1800 xt or higher)",видео карта,"nvidia geforce gtx 280, ati hd 4800 or higher"
directx,version 9.0,directx,version 10
диск,3 gb,диск,3 gb
,,,
windows_min_Dragon Star Varnir,windows_min_Dragon Star Varnir,windows_req_Dragon Star Varnir,windows_req_Dragon Star Varnir
операционная система,windows 7 64bit (directx 11 equivalent),операционная система,windows 10 64bit (directx 11 equivalent)
процессор,intel i5 2.3ghz or amd a9 2.9ghz equivalent,процессор,intel i5 3.3ghz or amd fx-8350 4.0ghz equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,"ati mobility radeon hd 5xxx, 1gb vram 5000",видео карта,"nvidia geforce gtx 960, ati mobility radeon r9 290"
диск,11 gb,диск,11 gb
,,,
windows_min_Zombie Shooter 2,windows_min_Zombie Shooter 2
операционная система,windows 2000 / xp / vista
процессор,1.7 ghz
оперативная память,512 mb
видео карта,directx compatible video card with 128mb video memory
directx,9.0
диск,1.5 gb free space
,
windows_min_Nova-Life,windows_min_Nova-Life,windows_req_Nova-Life,windows_req_Nova-Life
операционная система,ubuntu 15.10 and higher/mint 17.1 x86 and x64/steamos brewmaster,операционная система,ubuntu 15.10 and higher/mint 17.1 x86 and x64/steamos brewmaster
процессор,intel core i5-2310,процессор,intel core 2 quad cpu q6600 @ 2.40ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 710,видео карта,geforce gtx 660
directx,version 11,directx,version 12
диск,250 mb,диск,250 mb
дополнительно,microphone fortement recommand,дополнительно,microphone fortement recommand
,,,
windows_min_Sunrise: survival,windows_min_Sunrise: survival,windows_req_Sunrise: survival,windows_req_Sunrise: survival
операционная система,"windows xp, 7",операционная система,"windows xp, 7 ...10"
процессор,intel core 2 duo,процессор,intel core 2 quad 2.33ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,radeon gt6600,видео карта,radeon hd5700
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Sinking City,windows_min_The Sinking City
операционная система,win10 ()
процессор,"intel core i3-4350 @3,6 ghz/amd phenom x6 @ 3 ghz"
оперативная память,6 gb
видео карта,"nvidia geforce 760 gtx, 2048 mb/ati r9 380x, 2048 mb"
directx,version 11
диск,35 gb
,
windows_min_Super Bomberman R,windows_min_Super Bomberman R,windows_req_Super Bomberman R,windows_req_Super Bomberman R
операционная система,windows 7 / 8.1 / 10,операционная система,windows 7 / 8.1 / 10
процессор,intel core i5 3ghz or faster,процессор,intel core i5 3ghz or faster
оперативная память,4 gb,оперативная память,4 gb
видео карта,directx 11 compatible,видео карта,nvidia geforce gt1030 or higher; amd radeon rx 460 or higher
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
звуковая карта,direct sound,звуковая карта,direct sound
,,,
windows_min_Aaero,windows_min_Aaero
операционная система,windows 10
процессор,intel core i3
оперативная память,4 gb
видео карта,nvidia gtx 550
диск,2 gb
,
windows_min_S.K.I.L.L. - Special Force 2 (Shooter),windows_min_S.K.I.L.L. - Special Force 2 (Shooter),windows_req_S.K.I.L.L. - Special Force 2 (Shooter),windows_req_S.K.I.L.L. - Special Force 2 (Shooter)
операционная система,windows xp,операционная система,"windows xp, vista, 7"
процессор,"p4 3,0 ghz or comparable",процессор,core2 duo e6600 or comparable
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce 6600 or comparable,видео карта,geforce 8600 gt or comparable
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Warcube,windows_min_Warcube,windows_req_Warcube,windows_req_Warcube
операционная система,"os x / macos 10.8+ (mountain lion, mavericks, yosemite, el capitan, sierra)",операционная система,—
процессор,second generation intel core i5 recommended,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,"dedicated graphics highly recommended. amd radeon hd 6000m-series, nvidia geforce gt 600m-series",видео карта,—
,,,
windows_min_Espire 1: VR Operative,windows_min_Espire 1: VR Operative,windows_req_Espire 1: VR Operative,windows_req_Espire 1: VR Operative
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel i5-4590,процессор,i7-7700
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,nvidia gtx 1080 equivelant
directx,version 11,directx,version 11
диск,21 gb,диск,21 gb
,,,
windows_min_Artemis Spaceship Bridge Simulator,windows_min_Artemis Spaceship Bridge Simulator,windows_req_Artemis Spaceship Bridge Simulator,windows_req_Artemis Spaceship Bridge Simulator
операционная система,windows xp,операционная система,windows 7
оперативная память,512 mb,оперативная память,1 gb
видео карта,shader model 2.0,видео карта,shader model 2.0
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Titanfall - The Final Hours,windows_min_Titanfall - The Final Hours,windows_req_Titanfall - The Final Hours,windows_req_Titanfall - The Final Hours
операционная система,"mac os x v10.6, v10.7, v10.8, or v10.9",операционная система,—
процессор,intel core™ duo 1.83ghz or faster,процессор,—
оперативная память,512 mb,оперативная память,1000 mb
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Fly O'Clock,windows_min_Fly O'Clock,macos_min_Fly O'Clock,macos_min_Fly O'Clock,linux_min_Fly O'Clock,linux_min_Fly O'Clock
операционная система,windows 7,операционная система,osx 10,операционная система,ubuntu 12.4
процессор,dual core from intel or amd at 2.0 ghz,процессор,intel dual core,процессор,1.0 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia 320m or higher, or radeon 7000 or higher, or intel hd 3000",видео карта,"nvidia 320m or higher, or radeon 7000 or higher, or intel hd 3000 or higher",видео карта,"nvidia geforce 6200, ati/amd radeaon hd2400 xt"
,,,,,
windows_min_RUSSI.A SIMULATOR,windows_min_RUSSI.A SIMULATOR,windows_req_RUSSI.A SIMULATOR,windows_req_RUSSI.A SIMULATOR
операционная система,windows 7,операционная система,pitun os 2077
процессор,i7,процессор,mid to high end
оперативная память,228 gb,оперативная память,1937 gb
видео карта,gtx 780,видео карта,gtx 980
directx,version 11,directx,version 11
,,,
windows_min_Sora,windows_min_Sora
операционная система,windows 7/8/10
процессор,pentium 2.0ghz
оперативная память,1024 mb
видео карта,256mb graphics card
directx,version 9.0c
диск,1 gb
,
windows_min_Out of Reach: Treasure Royale,windows_min_Out of Reach: Treasure Royale,windows_req_Out of Reach: Treasure Royale,windows_req_Out of Reach: Treasure Royale
операционная система,"windows 7, 8, 10",операционная система,windows 10
процессор,intel dual-core 2.4 ghz or amd dual-core athlon 2.5 ghz,процессор,intel core i5-2300 or amd phenom ii x4 940
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 750,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Disaster Report 4: Summer Memories,windows_min_Disaster Report 4: Summer Memories,windows_req_Disaster Report 4: Summer Memories,windows_req_Disaster Report 4: Summer Memories
операционная система,windows 7 64bit,операционная система,windows 7 64bit
процессор,dual core amd or intel @ 3.0 ghz or faster,процессор,quad core amd or intel @ 2.8 ghz or faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,"gtx 950, amd r9 280",видео карта,"gtx 1060, amd rx 580"
directx,version 11,directx,version 11
диск,27 gb,диск,27 gb
,,,
windows_min_ANIME WAR — Modern Campaign,windows_min_ANIME WAR — Modern Campaign
операционная система,windows 7 sp1+
процессор,intel core 2 or similar
оперативная память,2 gb
видео карта,graphics card with dx10
directx,version 10
диск,700 mb
,
windows_min_Gleaner Heights,windows_min_Gleaner Heights,windows_req_Gleaner Heights,windows_req_Gleaner Heights
операционная система,ubuntu 14.04.05 x64,операционная система,ubuntu 14.04.05 x64
процессор,intel core2 duo e8200 @ 2.66ghz,процессор,intel core2 quad q9550 @ 2.83ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,amd radeon 4870 / nvidia gtx 260,видео карта,amd radeon 6790 / nvidia geforce gtx 550 ti
directx,version 9.0,directx,version 9.0
диск,100 mb,диск,100 mb
,,,
windows_min_Lost Planet: Extreme Condition Colonies Edition,windows_min_Lost Planet: Extreme Condition Colonies Edition
операционная система,windows xp or vista
процессор,"intel(r) pentium(r) 4 supporting ht technology or higher, or amd athlon(tm) 64 or higher"
оперативная память,"512 mb (windows xp), 1 gb (windows vista)"
видео карта,"directx 9.0c/shader3.0 compatible, vram256mb, nvidia geforce 6600 series or higher, or ati radeon(tm) x1600 or higher (excluding nvidia geforce 7300 series)"
directx,directx 9.0c
диск,8.0 gb
,
windows_min_Welcome to Princeland,windows_min_Welcome to Princeland,windows_req_Welcome to Princeland,windows_req_Welcome to Princeland
операционная система,windows 7,операционная система,windows 10
процессор,intel i5 2.4ghz cpu,процессор,intel i7 3.0ghz cpu
оперативная память,6 gb,оперативная память,6 gb
видео карта,nvidia geforce mx130,видео карта,nvidia geforce 1050ti
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Sword Legacy: Omen,windows_min_Sword Legacy: Omen
операционная система,windows 7
процессор,intel i5-760 @ 2.8ghz / amd ryzen 5 1400
оперативная память,4 gb
видео карта,nvidia gtx 650 / amd radeon hd 6850
,
windows_min_Inexistence,windows_min_Inexistence
операционная система,windows xp sp3
процессор,processeur pentium 200 mhz
оперативная память,256 mb
,
windows_min_Grim Guardians: Demon Purge,windows_min_Grim Guardians: Demon Purge,windows_req_Grim Guardians: Demon Purge,windows_req_Grim Guardians: Demon Purge
операционная система,"windows 7, 8.1, 10",операционная система,windows 10
процессор,2ghz or faster processer,процессор,3ghz or faster processer
оперативная память,8 gb,оперативная память,16 gb
видео карта,2gb vram (nvidia geforce),видео карта,4gb vram (nvidia geforce)
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Lucius Demake,windows_min_Lucius Demake,windows_req_Lucius Demake,windows_req_Lucius Demake
операционная система,ubuntu 14.04 32 bit,операционная система,ubuntu 16.04
процессор,intel core i3 m380,процессор,intel i5
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd 4000,видео карта,nvidia geforce 440
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_STAR WARS™ - X-Wing Alliance™,windows_min_STAR WARS™ - X-Wing Alliance™
операционная система,windows xp/vista/7/8
процессор,1.8 ghz
оперативная память,1 gb
видео карта,3d graphics card compatible with directx 7 (directx 9 recommended)
directx,version 7.0
диск,927 mb
,
windows_min_Coffin Dodgers,windows_min_Coffin Dodgers,windows_req_Coffin Dodgers,windows_req_Coffin Dodgers,macos_min_Coffin Dodgers,macos_min_Coffin Dodgers,macos_req_Coffin Dodgers,macos_req_Coffin Dodgers,linux_min_Coffin Dodgers,linux_min_Coffin Dodgers,linux_req_Coffin Dodgers,linux_req_Coffin Dodgers
операционная система,windows xp,операционная система,windows 7,операционная система,osx lion 10.7.5,операционная система,—,операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,2.2 dual core,процессор,intel core i5 2.5 ghz or amd fx 4.0 ghz,процессор,i5 1.4 ghz,процессор,—,процессор,2.2 dual core,процессор,intel core i5 2.5 ghz or amd fx 4.0 ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,4 mb
видео карта,"graphics card with around 256mb memory (ati mobility radeon hd 4570, nvidia quadro fx 3450)",видео карта,nvidia geforce gtx gpu 2gb gddr5,видео карта,intel hd graphics 256mb,видео карта,—,видео карта,"graphics card with around 256mb memory (ati mobility radeon hd 4570, nvidia quadro fx 3450)",видео карта,nvidia geforce gtx gpu 2gb gddr5
directx,version 9.0c,directx,version 9.0c,диск,1500 mb,диск,1500 mb,диск,1500 mb,диск,1500 mb
диск,1500 mb,диск,1500 mb,дополнительно,spec will be revised continually during early access,дополнительно,—,дополнительно,spec will be revised continually during early access.,дополнительно,spec will be revised continually during early access.
,,,,,,,,,,,
windows_min_The Sandbox Evolution - Craft a 2D Pixel Universe!,windows_min_The Sandbox Evolution - Craft a 2D Pixel Universe!,windows_req_The Sandbox Evolution - Craft a 2D Pixel Universe!,windows_req_The Sandbox Evolution - Craft a 2D Pixel Universe!
операционная система,windows 7 sp1 or higher,операционная система,windows 7 sp1 or higher
процессор,1 ghz,процессор,2 ghz
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,opengl 2.1 must be supported by your video card,видео карта,opengl 2.1 must be supported by your video card
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,100 mb,диск,256 mb
,,,
