windows_min_Battlezone Gold Edition,windows_min_Battlezone Gold Edition,windows_req_Battlezone Gold Edition,windows_req_Battlezone Gold Edition
операционная система,windows 7 sp1,операционная система,windows 7 sp1
процессор,intel i5-4590,процессор,intel™ core™ i5-4590
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_Rocketbirds 2 Evolution,windows_min_Rocketbirds 2 Evolution,windows_req_Rocketbirds 2 Evolution,windows_req_Rocketbirds 2 Evolution
операционная система,windows 7,операционная система,windows 7
процессор,dual core cpu: intel core i3 550 @ 3.2 ghz or amd athlon ii x4,процессор,quad core cpu: intel core i5 @ 3.3 ghz or amd phenom ii x6
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon hd 5570 or nvidia geforce gt 8800,видео карта,radeon hd 7950 or nvidia geforce gtx 660 ti
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
windows_min_Sine Mora EX,windows_min_Sine Mora EX,windows_req_Sine Mora EX,windows_req_Sine Mora EX
операционная система,"windows 7, windows 8, windows 10 (32 or )",операционная система,"windows 7, windows 8, windows 10 (32 or )"
процессор,2ghz dual core,процессор,2ghz quad core
оперативная память,2 gb,оперативная память,6 gb
видео карта,"nvidia 8800, amd 6850, intel hd 3000, 1gb vram",видео карта,"nvidia 760, amd r270, intel hd 4500, 2gb vram"
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,1 gb
,,,
windows_min_SurvivalZ Battlegrounds,windows_min_SurvivalZ Battlegrounds
операционная система,windows 7/8/10 - 64bits
процессор,2 ghz intel pentium 4 or amd athlon
оперативная память,2 gb
видео карта,intel hd graphique
диск,300 mb
,
windows_min_Survival Classic,windows_min_Survival Classic
операционная система,windows 7/8/10 32-bit
процессор,"intel or amd, 2.5 ghz or faster"
оперативная память,4096 mb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10
сеть,широкополосное подключение
,
windows_min_Rush Bros.,windows_min_Rush Bros.,windows_req_Rush Bros.,windows_req_Rush Bros.
операционная система,osx,операционная система,osx
процессор,dual core 2.0 ghz,процессор,quad core 3.5 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 650 / 512 mb,видео карта,geforce 650 / 1 gb
диск,1 gb hd space,диск,3 gb hd space
звуковая карта,stereo enabled sound card,звуковая карта,5.1 surround sound enabled sound card
,,,
windows_min_Gunheart,windows_min_Gunheart,windows_req_Gunheart,windows_req_Gunheart
операционная система,windows 7/8/10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_,windows_min_
операционная система,os x 10.7.0
процессор,2 ghz intel core 2 duo
оперативная память,256 mb
видео карта,opengl 2.1 compatible graphics card
directx,version 9.0
диск,300 mb
,
windows_min_FATE: The Traitor Soul,windows_min_FATE: The Traitor Soul
операционная система,"windows 8, windows 7, vista and xp"
