windows_min_Emily Wants to Play Too,windows_min_Emily Wants to Play Too,windows_req_Emily Wants to Play Too,windows_req_Emily Wants to Play Too,macos_min_Emily Wants to Play Too,macos_min_Emily Wants to Play Too,macos_req_Emily Wants to Play Too,macos_req_Emily Wants to Play Too,linux_min_Emily Wants to Play Too,linux_min_Emily Wants to Play Too,linux_req_Emily Wants to Play Too,linux_req_Emily Wants to Play Too
операционная система,"windows 7,8,10",операционная система,windows 10,операционная система,macos 10.13 - high sierra,операционная система,—,операционная система,—,операционная система,ubuntu 15.04
процессор,i5 or amd equivalent,процессор,i7,процессор,i7 - 4 ghz,процессор,—,процессор,—,процессор,"quad-core intel or amd, 2.5 ghz or faster"
видео карта,nvidia gtx 770,видео карта,gtx 970 or higher,оперативная память,8 gb,оперативная память,—,оперативная память,—,оперативная память,16 gb
directx,version 11,directx,version 11,видео карта,amd radeon pro 560 or r9 m295x,видео карта,—,видео карта,—,видео карта,nvidia gefforce gtx 970 or higher
диск,4 gb,диск,4 gb,диск,4 gb,диск,—,диск,—,диск,4 gb
звуковая карта,yeah probably so,звуковая карта,—,дополнительно,only higher end mac laptops and imacs supported.,дополнительно,—,,,,
,,,,,,,,,,,
windows_min_Skinwalker Hunt,windows_min_Skinwalker Hunt,windows_req_Skinwalker Hunt,windows_req_Skinwalker Hunt
операционная система,"windows vista, 7, 8, 10",операционная система,"windows vista, 7, 8, 10"
процессор,"intel core 2 quad, intel core 2 duo e8500",процессор,intel core i5-2500k
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gt 730 (2gb), intel hd graphics 630 .",видео карта,nvidia nvidia gtx 980 (4gb) or radeon rx 590
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Anomaly Defenders,windows_min_Anomaly Defenders,windows_req_Anomaly Defenders,windows_req_Anomaly Defenders,macos_min_Anomaly Defenders,macos_min_Anomaly Defenders,macos_req_Anomaly Defenders,macos_req_Anomaly Defenders,linux_min_Anomaly Defenders,linux_min_Anomaly Defenders,linux_req_Anomaly Defenders,linux_req_Anomaly Defenders
операционная система,windows xp sp3 (32 bit) / vista,операционная система,windows 7,операционная система,10.6,операционная система,10.6,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz",процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0",видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,"geforce gtx 260, radeon hd 5770, 1024 mb, shader model 3.0"
directx,version 9.0c,directx,version 9.0c,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,звуковая карта,integrated,звуковая карта,integrated,звуковая карта,integrated,звуковая карта,integrated
,,,,,,,,,,,
windows_min_Terraria: Official Soundtrack,windows_min_Terraria: Official Soundtrack,windows_req_Terraria: Official Soundtrack,windows_req_Terraria: Official Soundtrack
операционная система,"windows xp, vista, 7, 8/8.1, 10",операционная система,"windows 7, 8/8.1, 10"
процессор,2.0 ghz,процессор,dual core 3.0 ghz
оперативная память,2.5gb,оперативная память,4gb
диск,200mb,диск,200mb
видео карта,"128mb video memory, capable of shader model 2.0+",видео карта,"256mb video memory, capable of shader model 2.0+"
,,,
windows_min_Speedball 2 HD,windows_min_Speedball 2 HD
операционная система,"windows xp (sp3), windows vista (sp2), windows 7, windows 8."
процессор,amd athlon 64 4000+ (2600 mhz) or intel pentium d 950 extreme (3400 mhz)
оперативная память,1 gb
видео карта,"ati radeon x1300 pro, nvidia geforce 6200 turbocache or intel hd graphics"
directx,version 9.0c
диск,300 mb
,
windows_min_Retro Game Crunch,windows_min_Retro Game Crunch,windows_req_Retro Game Crunch,windows_req_Retro Game Crunch
операционная система,mac os x 10.6.8,операционная система,mac os x 10.8.5
оперативная память,1 gb,оперативная память,2 gb
диск,500 mb,диск,500 mb
,,,
windows_min_Pineview Drive,windows_min_Pineview Drive,windows_req_Pineview Drive,windows_req_Pineview Drive
операционная система,ubuntu 14.04 (trusty tahr),операционная система,ubuntu 14.04 (trusty tahr)
процессор,"intel core™ 2 duo / amd athlon™ x2, min. 2.8 ghz",процессор,"intel core™ 2 quad / amd phenom™ x4, min. 3,4 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia / amd with 512 mb memory,видео карта,nvidia / amd with 1024 mb memory
directx,version 10,directx,version 10
диск,2 gb,диск,2 gb
,,,
windows_min_Heroes of the Monkey Tavern,windows_min_Heroes of the Monkey Tavern
операционная система,windows 7
процессор,2 ghz
оперативная память,3 gb
видео карта,shader model 3.0 gpu ; nvidia geforce gtx 260 or amd radeon hd 5670
directx,version 9.0
,
windows_min_Kalinur,windows_min_Kalinur
операционная система,windows 7
процессор,core 2 duo
оперативная память,4 gb
видео карта,"intel uhd, amd vega"
,
windows_min_Within the blade,windows_min_Within the blade
операционная система,"windows vista or 7 ,8, 10"
процессор,2.16hz
оперативная память,100 mb
видео карта,128mb graphics
,
windows_min_Action Henk,windows_min_Action Henk,windows_req_Action Henk,windows_req_Action Henk,macos_min_Action Henk,macos_min_Action Henk,macos_req_Action Henk,macos_req_Action Henk,linux_min_Action Henk,linux_min_Action Henk,linux_req_Action Henk,linux_req_Action Henk
операционная система,"windows vista, 7, 8",операционная система,"windows vista, 7, 8",операционная система,os x 10.6 or higher,операционная система,os x 10.6 or higher,операционная система,ubuntu 12.04 32-bit,операционная система,ubuntu 12.04 32-bit
процессор,intel core i5,процессор,high-range intel core i5,процессор,intel core i5,процессор,high-range intel core i5,процессор,intel core i5,процессор,high-range intel core i5
оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 430 / equivalent or higher,видео карта,nvidia geforce gtx 560 / equivalent or higher,видео карта,nvidia geforce gt 430 / equivalent or higher,видео карта,nvidia geforce gtx 560 / equivalent or higher,видео карта,nvidia geforce gt 430 / equivalent or higher,видео карта,nvidia geforce gtx 560 / equivalent or higher
,,,,,,,,,,,
windows_min_Alien Breed 3: Descent,windows_min_Alien Breed 3: Descent
операционная система,windows xp sp2
процессор,2.0+ ghz single core
оперативная память,1gb
видео карта,nvidia 6800+ or ati radeon x700+ video card
directx,9.0c
диск,2.0gb
звуковая карта,windows supported sound card
,
windows_min_Eternity Warriors™ VR,windows_min_Eternity Warriors™ VR,windows_req_Eternity Warriors™ VR,windows_req_Eternity Warriors™ VR
операционная система,"windows 7 sp1, windows 8.1 or windows 10",операционная система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent",процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 970, amd radeon™ r9 290 equivalent, video output: hdmi 1.4, displayport 1.2",видео карта,"nvidia geforce gtx 1060, amd radeon™ rx480 equivalent, video output: hdmi 1.4, displayport 1.2"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_GRAY,windows_min_GRAY
операционная система,7/8.1/10
процессор,intel core 2 duo
оперативная память,2 gb
видео карта,vram 250mb
directx,version 9.0
,
windows_min_Undead Development,windows_min_Undead Development
операционная система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel™ core™ i5-4590 or amd fx™ 8350, equivalent"
оперативная память,4 gb
видео карта,"nvidia geforce™ gtx 1060 or amd radeon™ rx 480, equivalent"
диск,2 gb
,
