windows_min_Middle-earth: Shadow of Mordor - The Bright Lord,windows_min_Middle-earth: Shadow of Mordor - The Bright Lord,windows_req_Middle-earth: Shadow of Mordor - The Bright Lord,windows_req_Middle-earth: Shadow of Mordor - The Bright Lord,macos_min_Middle-earth: Shadow of Mordor - The Bright Lord,macos_min_Middle-earth: Shadow of Mordor - The Bright Lord,macos_req_Middle-earth: Shadow of Mordor - The Bright Lord,macos_req_Middle-earth: Shadow of Mordor - The Bright Lord,linux_min_Middle-earth: Shadow of Mordor - The Bright Lord,linux_min_Middle-earth: Shadow of Mordor - The Bright Lord,linux_req_Middle-earth: Shadow of Mordor - The Bright Lord,linux_req_Middle-earth: Shadow of Mordor - The Bright Lord
операционная система,"vista sp2, win 7 sp1, win 8.1",операционная система,"win 7 sp1, win 8.1",операционная система,mac os x 10.10.3,операционная система,—,операционная система,ubuntu 14.04.2 / steamos,операционная система,ubuntu 14.04.2 / steamos
процессор,"intel core i5-750, 2.67 ghz | amd phenom ii x4 965, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz | amd fx-8350, 4.0 ghz",процессор,2.4ghz intel core i5,процессор,—,процессор,2.6 ghz,процессор,3.4 ghz intel
оперативная память,3 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 mb,оперативная память,8 mb
видео карта,nvidia geforce gtx 460 |; amd radeon hd 5850,видео карта,nvidia geforce gtx 660 |; amd radeon hd 7950,видео карта,"1gb nvidia 650m, 2gb amd r9 m290, 1.5gb intel iris pro 5200 (see notes for more details)",видео карта,—,видео карта,1gb nvidia 640 with driver version 352.21,видео карта,4gb nvidia 9xx series card with driver version 352.21
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,67 gb,диск,—,диск,47 mb,диск,47 mb
,,,,,,,,,,,
windows_min_Magical Battle Festa,windows_min_Magical Battle Festa
операционная система,windows xp/vista/7/8
процессор,core 2 duo or faster
оперативная память,1 gb
,
windows_min_Distant Space,windows_min_Distant Space,macos_min_Distant Space,macos_min_Distant Space,linux_min_Distant Space,linux_min_Distant Space
операционная система,windows 7,операционная система,osx 10.5+,операционная система,ubuntu 14.04
процессор,1 ghz,процессор,1 ghz,процессор,1 ghz
,,,,,
windows_min_Platypus,windows_min_Platypus
операционная система,windows xp/vista/7/8
процессор,pentium or amd 1.3 ghz
оперативная память,128 mb
,
windows_min_Uncanny Valley,windows_min_Uncanny Valley
операционная система,windows 7
процессор,2.5 ghz
оперативная память,2 gb
видео карта,direct x9.0c compatible card
directx,version 9.0
,
windows_min_Yandere School,windows_min_Yandere School
операционная система,windows 7
процессор,i5
оперативная память,2 gb
видео карта,amd 6600 / gtx 650
,
windows_min_Vox,windows_min_Vox,windows_req_Vox,windows_req_Vox
операционная система,windows xp,операционная система,windows 7
процессор,1.6 ghz,процессор,2.66 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"dx9.0c compatible graphics card, capable of running shaders.",видео карта,"nvidia geforce gtx 280, ati hd 4800 or higher"
диск,200 mb,диск,200 mb
,,,
windows_min_Stairs,windows_min_Stairs,windows_req_Stairs,windows_req_Stairs
операционная система,"windows xp, vista, 7",операционная система,"windows xp, vista, 7"
процессор,"inter core2 duo, amd athlon64 x2",процессор,"intel core i5 / i7, amd equivalent"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidiageforce 9600gt, ati radeon 4670hd",видео карта,"nvidia geforce gtx 280, ati radeon 4870"
directx,version 9.0,directx,version 9.0
диск,4 gb,диск,4 gb
,,,
windows_min_Munchkin Digital,windows_min_Munchkin Digital,windows_req_Munchkin Digital,windows_req_Munchkin Digital
операционная система,osx 13,операционная система,osx 13
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 8600m gt (256 mb) or ati radeon hd 2600 pro (256 mb),видео карта,nvidia geforce gt 650m (1 gb) or ati radeon hd 5670 (512 mb)
directx,version 11,directx,version 11
диск,2 gb,диск,5 gb
,,,
windows_min_Unfortunate Spacemen,windows_min_Unfortunate Spacemen,windows_req_Unfortunate Spacemen,windows_req_Unfortunate Spacemen
операционная система,windows 7,операционная система,windows 10
процессор,2.4 ghz dual core or higher,процессор,2.4 ghz quad core or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx,видео карта,geforce gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_TASOMACHI: Behind the Twilight,windows_min_TASOMACHI: Behind the Twilight,windows_req_TASOMACHI: Behind the Twilight,windows_req_TASOMACHI: Behind the Twilight
операционная система,windows7/8/10 64bit,операционная система,windows7/8/10 64bit
процессор,3ghz,процессор,3.4ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx660,видео карта,geforce gtx970
,,,
windows_min_T.E.C. 3001,windows_min_T.E.C. 3001,windows_req_T.E.C. 3001,windows_req_T.E.C. 3001
операционная система,os x mountain lion,операционная система,os x mavericks
процессор,2.0 ghz dual core,процессор,3.0ghz i5 dual core
оперативная память,1 gb,оперативная память,1 gb
видео карта,integrated graphics (256mb),видео карта,nvidia geforce gtx 650 radeon hd 3600 (1gb)
directx,version 9.0,directx,version 9.0
,,,
windows_min_MDK,windows_min_MDK
операционная система,windows
процессор,pentium 300mhz
оперативная память,64mb
видео карта,directx
directx®,7
диск,650mb
,
windows_min_Steel Rats™,windows_min_Steel Rats™,macos_min_Steel Rats™,macos_min_Steel Rats™,linux_min_Steel Rats™,linux_min_Steel Rats™
операционная система,win 7,операционная система,macos mojave,операционная система,ubuntu 18.04 lts
процессор,intel core 2 duo e8400 / amd phenom ii x4 940,процессор,i5 2.9 ghz,процессор,intel core 2 duo e8400
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gt 630 / radeon hd 7570,видео карта,"iris 550, compatible with metal",видео карта,"geforce gt 630, compatible with vulkan"
directx,version 11,диск,6 gb,диск,6 gb
диск,6 gb,,,,
,,,,,
windows_min_Operation Warcade VR,windows_min_Operation Warcade VR,windows_req_Operation Warcade VR,windows_req_Operation Warcade VR
операционная система,windows 7 sp1,операционная система,windows 7 sp1
процессор,intel core i5 4590 or amd fx 8350,процессор,intel core i5 4590 or amd fx 8350
оперативная память,8 mb,оперативная память,—
видео карта,nvidia geforce gtx 970 / amd radeon r9 290,видео карта,nvidia geforce gtx 970 / amd radeon r9 290
диск,2300 mb,диск,2300 mb
звуковая карта,windows compatible sound card,звуковая карта,windows compatible sound card
,,,
windows_min_Maximum Override,windows_min_Maximum Override,windows_req_Maximum Override,windows_req_Maximum Override
операционная система,xp/vista/windows 7,операционная система,—
процессор,intel dual-core 2.4 ghz (or amd equivalent),процессор,intel quad core i5 @ 2.5 ghz (or amd equivalent)
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,nvidia geforce gtx 670
directx,version 7.0,directx,version 11
диск,600 mb,диск,—
,,,
windows_min_Has-Been Heroes,windows_min_Has-Been Heroes
операционная система,() windows 10 / 8 / 7
процессор,intel core i3 / i5/i7 1.8 ghz cpu dual-core. amd 2.0 ghz dual-core.
оперативная память,4 gb
видео карта,nvidia geforce 260 / radeon hd 4000 series / intel hd graphics 4000
directx,version 10
,
windows_min_BOLSOMITO,windows_min_BOLSOMITO,windows_req_BOLSOMITO,windows_req_BOLSOMITO
операционная система,windows 7+,операционная система,windows 7+
процессор,2 ghz dual-core,процессор,2 ghz dual-core
оперативная память,2 gb,оперативная память,2 gb
видео карта,"any intel graphics, amd or nvidia graphics card with latest drivers",видео карта,"any intel graphics, amd or nvidia graphics card with latest drivers"
,,,
windows_min_Lugaru HD,windows_min_Lugaru HD,macos_min_Lugaru HD,macos_min_Lugaru HD,linux_min_Lugaru HD,linux_min_Lugaru HD
операционная система,"windows xp, vista, 7",операционная система,mac osx 10.5,операционная система,ubuntu 12.04
процессор,1ghz or faster,процессор,1ghz or faster,процессор,1ghz or faster
оперативная память,512mb,оперативная память,512mb,оперативная память,512mb
видео карта,128mb opengl compatible graphics card,видео карта,128mb opengl compatible graphics card,видео карта,128mb opengl compatible graphics card
диск,40mb space free,диск,40mb space free,диск,40mb space free
,,,,,
windows_min_Cursed Castilla (Maldita Castilla EX),windows_min_Cursed Castilla (Maldita Castilla EX)
операционная система,"windows vista, 7, 8 o 10"
процессор,1ghz+
оперативная память,512 mb
видео карта,128 mb
,
windows_min_Colonies Online,windows_min_Colonies Online,windows_req_Colonies Online,windows_req_Colonies Online
операционная система,windows xp service pack 3 / vista / 7 / 8,операционная система,windows 7 / 8
процессор,"cpu that supports sse2 (intel dual core @ 1.6 ghz, amd dual core @ 1.6 ghz)",процессор,intel pentium i7 series or amd x4 @ 2.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,gpu with 256 mb vram or more that supports shader model 3 and directx 9.0c (amd radeon 2600 xt or nvidia geforce 8600 gts),видео карта,amd radeon 6790 or nvidia geforce gtx 560 with at least 1 gb vram
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_Mushroom Wars,windows_min_Mushroom Wars
операционная система,windows xp sp3
процессор,intel core 2 / amd phenom
оперативная память,1 gb
видео карта,"256 mb, directx 9-compatible, pixel shader 3.0"
directx,version 9.0c
диск,130 mb
,
windows_min_Volt,windows_min_Volt,macos_min_Volt,macos_min_Volt,linux_min_Volt,linux_min_Volt
операционная система,windows xp,операционная система,os x lion 10.7.5,операционная система,ubuntu 12.04.4 lts
процессор,1.7 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb
видео карта,intel gma 900,видео карта,intel gma 950,видео карта,intel gma 900
directx,version 9.0,диск,150 mb,диск,150 mb
,,,,,
windows_min_Ether Loop,windows_min_Ether Loop
операционная система,os x 10.7+
процессор,intel core i3
оперативная память,4 gb
видео карта,geforce 7600 gs (512 mb)
,
windows_min_A Bastard's Tale,windows_min_A Bastard's Tale
операционная система,windows me and 2000 and later
процессор,"cpu with sse2 support, including intel pentium 4, pentium m, core or atom, amd athlon 64 ."
оперативная память,1 gb
видео карта,256 mb
,
windows_min_Acceleration of SUGURI 2,windows_min_Acceleration of SUGURI 2,windows_req_Acceleration of SUGURI 2,windows_req_Acceleration of SUGURI 2
операционная система,"windows vista, 7, 8 & 10",операционная система,"windows vista, 7, 8 & 10"
процессор,intel cpu 2.0ghz or higher,процессор,intel cpu 2.6ghz or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 8.1a compatible video card with 256mb memory or more,видео карта,directx 8.1a compatible video card with 1024mb memory or more
directx,version 8.1a,directx,version 8.1a
диск,2 gb,диск,4 gb
звуковая карта,directsound compatible sound card,звуковая карта,directsound compatible sound card
,,,
windows_min_Unbox: Newbie's Adventure,windows_min_Unbox: Newbie's Adventure,windows_req_Unbox: Newbie's Adventure,windows_req_Unbox: Newbie's Adventure
операционная система,windows vista,операционная система,windows 7
процессор,dual core 2.0ghz+,процессор,quad core 2.5ghz+
оперативная память,1 gb,оперативная память,4 gb
видео карта,nvidia 9800 gtx/ amd 7750 (ddr3) or higher,видео карта,nvidia geforce gtx 960/ amd hd 5970 or higher
диск,7 gb,диск,7 gb
,,,
windows_min_Green Elephant 2D,windows_min_Green Elephant 2D,windows_req_Green Elephant 2D,windows_req_Green Elephant 2D
операционная система,microsoft windows vista / 7 / 8 / 10,операционная система,microsoft windows vista / 7 / 8 / 10
процессор,intel core 2 duo,процессор,intel core 2 duo
оперативная память,512 mb,оперативная память,1 gb
видео карта,256mb graphics,видео карта,256mb graphics
directx,version 9.0c,directx,version 9.0c
диск,250 mb,диск,250 mb
,,,
macos_min_Call of Duty: Black Ops - Mac Edition,macos_min_Call of Duty: Black Ops - Mac Edition
операционная система,10.12 (sierra)
процессор,intel core 2 duo 2.2 ghz
оперативная память,4 gb
видео карта,"512mb or higher. nvidia 640m, ati hd 3870, intel hd 5000"
сеть,широкополосное подключение
диск,15 gb
,
windows_min_Overkill VR: Action Shooter FPS,windows_min_Overkill VR: Action Shooter FPS
операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290
,
windows_min_Lucah: Born of a Dream,windows_min_Lucah: Born of a Dream,windows_req_Lucah: Born of a Dream,windows_req_Lucah: Born of a Dream,macos_min_Lucah: Born of a Dream,macos_min_Lucah: Born of a Dream,macos_req_Lucah: Born of a Dream,macos_req_Lucah: Born of a Dream,linux_min_Lucah: Born of a Dream,linux_min_Lucah: Born of a Dream,linux_req_Lucah: Born of a Dream,linux_req_Lucah: Born of a Dream
операционная система,windows 7,операционная система,windows 7,операционная система,macos yosemite,операционная система,"macos sierra, high sierra",операционная система,"ubuntu 12.04+, steamos+",операционная система,"ubuntu 18.04 lts, steamos+"
процессор,1.8ghz or faster,процессор,2.5ghz or faster,процессор,intel core i3,процессор,intel core i5,процессор,1.8ghz or faster,процессор,2.5ghz or faster
видео карта,any from the last 4 years,видео карта,"graphics card with shader model 3 support, 2gb video memory",оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb
диск,2 gb,диск,2 gb,видео карта,intel hd graphics 4000,видео карта,"graphics card with shader model 3 support, 2gb video memory",видео карта,any from the last 4 years,видео карта,"graphics card with shader model 3 support, 2gb video memory"
,,,,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Soulfire,windows_min_Soulfire
операционная система,windows 7/8/vista/10
процессор,2.0 ghz cpu (dual core recommended)
оперативная память,4 gb
видео карта,ati radeon hd 2400 or nvidia geforce 7600 (shader model 3.0 needs to be supported)
directx,version 9.0c
сеть,широкополосное подключение
диск,5 gb
,
windows_min_Code of Princess,windows_min_Code of Princess
операционная система,windows 7 / 8.1 / 10
процессор,intel core 2 duo 2 ghz or faster
оперативная память,2 gb
видео карта,opengl 1.5 compliant video card
directx,version 9.0c
