windows_min_SWAT 3: Tactical Game of the Year Edition,windows_min_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition,windows_req_SWAT 3: Tactical Game of the Year Edition
операционная система,windows xp / vista / 7,операционная система,—
процессор,1.0 ghz,процессор,1.4 ghz
оперативная память,256 mb,оперативная память,512 mb
видео карта,directx 7 compatible 3d card,видео карта,directx 9 compatible 3d card
directx,version 7.0,directx,version 9.0
диск,1 gb,диск,—
,,,
windows_min_Nether: The Untold Chapter,windows_min_Nether: The Untold Chapter,windows_req_Nether: The Untold Chapter,windows_req_Nether: The Untold Chapter
операционная система,windows 7 * os required*,операционная система,windows 10 * os required*
процессор,2.4 ghz quad core,процессор,2.4 ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 460 / ati radeon hd 5850,видео карта,nvidia gtx 1050
directx,version 9.0,directx,version 9.0
диск,3 gb,диск,5 gb
,,,
windows_min_Drift Horizon Online,windows_min_Drift Horizon Online,windows_req_Drift Horizon Online,windows_req_Drift Horizon Online
операционная система,windows xp,операционная система,windows 10
процессор,"intel celeron, pentium 4",процессор,intel core i5 and higher
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx275,видео карта,nvidia geforce gtx750ti and higher
directx,version 9.0,directx,version 11
,,,
windows_min_Touhou Chireiden ~ Subterranean Animism.,windows_min_Touhou Chireiden ~ Subterranean Animism.,windows_req_Touhou Chireiden ~ Subterranean Animism.,windows_req_Touhou Chireiden ~ Subterranean Animism.
операционная система,windows 7/8/10,операционная система,—
процессор,core 2 duo or faster,процессор,—
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,shader model 2.0 compatible,видео карта,—
directx,version 9.0c,directx,—
диск,400 mb,диск,—
звуковая карта,directsound compatible,звуковая карта,—
,,,
windows_min_Arctic Anxiety,windows_min_Arctic Anxiety,windows_req_Arctic Anxiety,windows_req_Arctic Anxiety
операционная система,windows 7/8/10,операционная система,windows 10
процессор,amd fx-4350,процессор,intel core i3-7100
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Clergy Splode,windows_min_Clergy Splode
операционная система,windows xp/windows vista/windows 7/8
процессор,1.6 ghz
оперативная память,128 mb
видео карта,directx 9.0 compatible
диск,200 mb
,
windows_min_THE LAST PLAYER:VR Battle Royale,windows_min_THE LAST PLAYER:VR Battle Royale,windows_req_THE LAST PLAYER:VR Battle Royale,windows_req_THE LAST PLAYER:VR Battle Royale
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4590 / amd fx-8350,процессор,intel core i7-6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290,видео карта,nvidia geforce gtx 1080
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Koihime Enbu †,windows_min_Koihime Enbu †
операционная система,windows vista / 7 / 8.1 / 10
процессор,intel core i3 2ghz or faster
оперативная память,3 gb
видео карта,intel(r) hd graphics 3000
directx,version 9.0c
сеть,широкополосное подключение
диск,4 gb
звуковая карта,directsound
,
windows_min_Comanche,windows_min_Comanche,windows_req_Comanche,windows_req_Comanche
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-7200u or amd equivalent,процессор,intel core i7 7700 or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx960 (minimum nvidia drivers 462.31) or amd equivalent (minimum amd drivers 21.4.1),видео карта,geforce gtx1060 or amd equivalent
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_ITTA,windows_min_ITTA,windows_req_ITTA,windows_req_ITTA
операционная система,windows 7,операционная система,windows 7 or higher
процессор,intel core 2 duo or amd equivalent,процессор,intel core2 quad or amd equivalent
оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 9600 gt / radeon hd 5770,видео карта,geforce gt 430 or radeon hd 6850
,,,
windows_min_NecroVisioN: Lost Company,windows_min_NecroVisioN: Lost Company,windows_req_NecroVisioN: Lost Company,windows_req_NecroVisioN: Lost Company
операционная система,"microsoft windows xp service pack 2, vista (operating system must be up to date with the latest patches)",операционная система,—
процессор,intel pentium 4 2.4ghz or amd athlon 64 +2800,процессор,intel core 2 duo 1.80 ghz or amd x2 5000+
оперативная память,1 gb (microsoft windows xp) / 1.5gb (microsoft windows vista),оперативная память,2 gb or more
видео карта,256 mb video with directx9 pixel shader 3.0 support (nvidia geforce 6600 or ati radeon x1600 ),видео карта,nvidia geforce 8800 series or ati radeon hd 38xx series
directx,directx 9.0c,directx,—
диск,8.0 gb available hard drive space,диск,—
звуковая карта,directx 9.0c compliant soundcard,звуковая карта,—
,,,
windows_min_Artificial Extinction,windows_min_Artificial Extinction,windows_req_Artificial Extinction,windows_req_Artificial Extinction
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i5-8400
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Mini Battlegrounds,windows_min_Mini Battlegrounds,windows_req_Mini Battlegrounds,windows_req_Mini Battlegrounds
операционная система,windows 7 service pack 1,операционная система,windows 7 service pack 1
процессор,1.6+ ghz dual-core cpu,процессор,2.0+ ghz dual-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"intel hd graphics 5500, nvidia geforce 700m series (512mb video required)",видео карта,"nvidia geforce gt 400 series, (1gb video required)"
directx,version 11,directx,version 11
диск,512 mb,диск,512 mb
,,,
windows_min_TowerClimb,windows_min_TowerClimb
операционная система,windows xp
процессор,2.0 ghz
оперативная память,2 gb
видео карта,128 mb vram
directx,version 9.0c
,
windows_min_Critter Crunch,windows_min_Critter Crunch
операционная система,osx snow leopard 10.6.8
процессор,intel core 2 duo 2.4ghz
оперативная память,1 gb
видео карта,graphics card with 256mb or higher
диск,300 mb hd space
звуковая карта,directx 9.0 compliant sound card
other requirements,широкополосное подключение
,
windows_min_Fight Angel/,windows_min_Fight Angel/,windows_req_Fight Angel/,windows_req_Fight Angel/
операционная система,windows 7,операционная система,windows 10
процессор,inter core i5-4690 cpu @ 3.5ghz,процессор,inter core i5-4690 cpu @ 3.5ghz
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,nvidia geforce gtx 750 ti,видео карта,nvidia geforce gtx 750 ti
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Mighty Gunvolt,windows_min_Mighty Gunvolt
операционная система,"windows xp, 7 or 8.1"
процессор,2ghz or faster processer
оперативная память,2 gb
видео карта,512mb vram (nvidia geforce)
directx,version 9.0c
,
windows_min_TormentorPunisher,windows_min_TormentorPunisher,windows_req_TormentorPunisher,windows_req_TormentorPunisher
операционная система,mac os x 10.6 snow leopard,операционная система,os x 10.7 +
процессор,dual core,процессор,"intel core2 duo e4500 (2 * 2200), amd athlon 64 x2 4200+ (2 * 2200)"
оперативная память,2 gb,оперативная память,2 gb
видео карта,radeon hd 6630m (256 mb),видео карта,radeon hd 6630m (256 mb)
directx,version 9.0c,directx,version 12
диск,500 mb,диск,500 mb
дополнительно,*controller support for 32-bit os is not officially supported* (keyboard & mouse is fine!),дополнительно,*controller support for 32-bit os is not officially supported* (keyboard & mouse is fine!)
,,,
windows_min_Welcome to Hanwell,windows_min_Welcome to Hanwell,windows_req_Welcome to Hanwell,windows_req_Welcome to Hanwell
операционная система,windows 7,операционная система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 3 ghz or faster"
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 470 or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce gtx 970 or amd radeon r9 290 series card of higher
directx,version 11,directx,version 11
,,,
windows_min_Adore,windows_min_Adore,windows_req_Adore,windows_req_Adore
операционная система,windows 7,операционная система,windows 10
процессор,intel(r) core(tm) 2 duo cpu e8400 @ 3.00hz,процессор,intel(r) core(tm) i5-3470 cpu @ 3.20ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx 260 |; ati radeon hd 4800 series,видео карта,geforce gtx 660
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_The Warhorn,windows_min_The Warhorn,windows_req_The Warhorn,windows_req_The Warhorn
операционная система,windows 7,операционная система,windows 7
процессор,intel core i5-3330 or amd fx 8320,процессор,intel core i5-4590 or amd fx 9590
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 2gb or amd hd7770,видео карта,nvidia geforce gtx 970 4gb or amd radeon r9 280 3gb
directx,version 10,directx,version 11
,,,
windows_min_AI: Rampage,windows_min_AI: Rampage
операционная система,windows 7
процессор,1 ghz
оперативная память,1 gb
видео карта,"nvidia gf 8600gt, amd radeon hd3650, intel hd2000"
,
windows_min_Conductor,windows_min_Conductor
операционная система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативная память,4 gb
видео карта,"nvidia geforce gtx 780, amd radeon™ r9 290 equivalent, video output: hdmi 1.4, displayport 1.2"
,
windows_min_DUAL GEAR,windows_min_DUAL GEAR,windows_req_DUAL GEAR,windows_req_DUAL GEAR
операционная система,os x mavericks 10.9.2,операционная система,os x mavericks 10.9.2
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd 6970,видео карта,amd radeon r9 m290
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Tom Clancy's Rainbow Six® Siege - Ash Watch_Dogs Set,windows_min_Tom Clancy's Rainbow Six® Siege - Ash Watch_Dogs Set,windows_req_Tom Clancy's Rainbow Six® Siege - Ash Watch_Dogs Set,windows_req_Tom Clancy's Rainbow Six® Siege - Ash Watch_Dogs Set
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативная память,6 gb,оперативная память,8 gb
,,,
windows_min_Bullshot,windows_min_Bullshot
операционная система,mac os x
процессор,intell/amd dual core or similar
оперативная память,2 gb
видео карта,1gb
,
windows_min_SpiderHeck,windows_min_SpiderHeck
операционная система,windows 10
процессор,intel i3 2125 3.30 ghz
оперативная память,4 gb
видео карта,nvidia gtx 550 ti
directx,version 11
сеть,широкополосное подключение
диск,1100 mb
,
windows_min_Asteroid Bounty Hunter,windows_min_Asteroid Bounty Hunter,windows_req_Asteroid Bounty Hunter,windows_req_Asteroid Bounty Hunter,macos_min_Asteroid Bounty Hunter,macos_min_Asteroid Bounty Hunter,macos_req_Asteroid Bounty Hunter,macos_req_Asteroid Bounty Hunter,linux_min_Asteroid Bounty Hunter,linux_min_Asteroid Bounty Hunter,linux_req_Asteroid Bounty Hunter,linux_req_Asteroid Bounty Hunter
операционная система,windows 7,операционная система,windows 7 or 8,операционная система,mac os x 10.10.3,операционная система,mac os x 10.10.4,операционная система,ubuntu 12.04.05 lts (precise pangolin),операционная система,ubuntu 14.04.03 (trusty tahr)
процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz,процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz,процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz
оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb,оперативная память,—
видео карта,512 mb or higher,видео карта,—,видео карта,512 mb or higher,видео карта,1gb or higher,видео карта,512 mb or higher,видео карта,1gb or higher
directx,version 9.0,directx,version 11,диск,3 gb,диск,3 gb,диск,3 gb,диск,3 gb
,,,,,,,,,,,
windows_min_Alex Kidd in Miracle World DX,windows_min_Alex Kidd in Miracle World DX
операционная система,windows 7
процессор,1.80ghz
оперативная память,4 gb
,
