windows_min_Call to Arms,windows_min_Call to Arms,windows_req_Call to Arms,windows_req_Call to Arms
операционная система,"64bit - windows 7, 8, 10",операционная система,64bit - windows 10
оперативная память,4 gb,оперативная память,16 gb
видео карта,directx 11 compatible,видео карта,directx 12 compatible
directx,version 11,directx,version 12
диск,40 gb,диск,40 gb
звуковая карта,directx 11 compatible,звуковая карта,directx 12 compatible
,,,
windows_min_Last Epoch,windows_min_Last Epoch,windows_req_Last Epoch,windows_req_Last Epoch,macos_min_Last Epoch,macos_min_Last Epoch,macos_req_Last Epoch,macos_req_Last Epoch,linux_min_Last Epoch,linux_min_Last Epoch,linux_req_Last Epoch,linux_req_Last Epoch
операционная система,windows 7,операционная система,windows 10,операционная система,10.12,операционная система,10.15,операционная система,ubuntu 16.04,операционная система,ubuntu 20.04
процессор,intel core i5 2500 or amd fx-4350,процессор,intel core i5 6500 or amd ryzen 3 1200,процессор,intel core i5 2500 or amd fx-4350,процессор,intel core i5 6500 or amd ryzen 3 1200,процессор,intel core i5 2500 or amd fx-4350,процессор,intel core i5 6500 or amd ryzen 3 1200
оперативная память,8 gb,оперативная память,16 gb,оперативная память,6 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660ti or amd r9 270 with 2+ gb of vram,видео карта,nvidia gtx 1060 or amd rx 480 with 4+ gb of vram,видео карта,nvidia gtx 660ti or amd r9 270 with 2+ gb of vram,видео карта,nvidia gtx 1060 or amd rx 480 with 4+ gb of vram,видео карта,nvidia gtx 660ti or amd r9 270 with 2+ gb of vram,видео карта,nvidia gtx 1060 or amd rx 480 with 4+ gb of vram
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,20 gb,диск,20 gb,диск,20 gb,диск,20 gb
диск,20 gb,диск,20 gb,дополнительно,ssd recommended,дополнительно,ssd recommended,дополнительно,ssd strongly recommended,дополнительно,ssd strongly recommended
,,,,,,,,,,,
windows_min_DmC: Devil May Cry,windows_min_DmC: Devil May Cry,windows_req_DmC: Devil May Cry,windows_req_DmC: Devil May Cry
операционная система,"windows vista(r)/xp, windows 7, windows 8",операционная система,"windows vista(r)/xp, windows 7, windows 8"
процессор,"intel(r) core(tm)2 duo 2.4 ghz, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia(r) geforce(r) 8800gts, ati radeon(tm) hd 3850",видео карта,ati radeon(tm) hd 6950
directx,9.0c,directx,9.0c
диск,9 gb hd space,диск,9 gb hd space
,,,
windows_min_Project Winter,windows_min_Project Winter,windows_req_Project Winter,windows_req_Project Winter
операционная система,windows 7,операционная система,windows 10
процессор,amd fx-6300 / 3rd or 4th gen i3,процессор,i5 6600 +
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 660 ti / hd 7870,видео карта,gtx 970
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Salt and Sanctuary,windows_min_Salt and Sanctuary,windows_req_Salt and Sanctuary,windows_req_Salt and Sanctuary,macos_min_Salt and Sanctuary,macos_min_Salt and Sanctuary,macos_req_Salt and Sanctuary,macos_req_Salt and Sanctuary,linux_min_Salt and Sanctuary,linux_min_Salt and Sanctuary,linux_req_Salt and Sanctuary,linux_req_Salt and Sanctuary
операционная система,windows vista,операционная система,windows 8,операционная система,lion 10.7.5,операционная система,latest macos release,операционная система,"glibc 2.15+, 32/. s3tc support is not required.",операционная система,"glibc 2.15+, 32/"
процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+,процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo,процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,directx 10 compatible video card with shader model 3.0 support,видео карта,nvidia 9600gt or ati radeon™ hd 5000+,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support
directx,version 10,directx,version 10,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported,дополнительно,sdl_gamecontroller devices fully supported
звуковая карта,100% directx 9.0c compatible sound card and drivers,звуковая карта,100% directx 9.0c compatible sound card and drivers,,,,,,,,
,,,,,,,,,,,
windows_min_DJMAX RESPECT V,windows_min_DJMAX RESPECT V,windows_req_DJMAX RESPECT V,windows_req_DJMAX RESPECT V
операционная система,"windows 7, 8.1, 10 (64bit)",операционная система,windows 10 (64bit)
процессор,intel core 2 duo e8400 3.0ghz amd athlon 64 x2 6000+ 3.0ghz,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,nvidia gtx 460 or amd hd 5850,видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
