windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
операционная система,windows vista service pack 2,операционная система,windows 7,операционная система,os x 10.6 (snow leopard),операционная система,os x 10.8 (mountain lion),операционная система,ubuntu 13.04,операционная система,ubuntu 13.04
процессор,2.5ghz i3 equivalent,процессор,2.8ghz i5 equivalent,процессор,2.5 ghz quad core,процессор,2.8ghz quad core,процессор,2.5ghz i3 equivalent,процессор,2.8ghz i5 equivalent
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"directx 10 compliant graphics device, radeon 5450, nvidia 8600, intel hd 3000 @720p",видео карта,"directx 10 compliant graphics device, radeon 5770, nvidia gtx 470, intel hd 4000",видео карта,intel hd graphics 4000 @720p,видео карта,intel hd graphics 5000,видео карта,"radeon 5770, nvidia gtx 470 @720p",видео карта,"radeon 5770, nvidia gtx 470"
directx,version 11,directx,version 11,диск,250 mb,диск,250 mb,диск,250 mb,диск,250 mb
диск,250 mb,диск,250 mb,звуковая карта,xaudio 2-compatible sound card,звуковая карта,xaudio 2-compatible sound card,звуковая карта,xaudio 2-compatible sound card,звуковая карта,xaudio 2-compatible sound card
,,,,,,,,,,,
windows_min_LocoCycle,windows_min_LocoCycle,windows_req_LocoCycle,windows_req_LocoCycle
операционная система,windows xp sp2 32-bit,операционная система,windows 7
процессор,dual core,процессор,quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,directx10 gpu w/256megs vram,видео карта,directx11 gpu w/1gb vram
directx,version 9.0c,directx,version 11
диск,15 gb,диск,15 gb
звуковая карта,windows hd audio,звуковая карта,windows hd audio
дополнительно,directx9 gpu not supported,дополнительно,—
,,,
windows_min_Boomerang X,windows_min_Boomerang X,windows_req_Boomerang X,windows_req_Boomerang X
операционная система,windows 10 x64,операционная система,windows 10 x64
процессор,intel core i5-4670k (4 * 3400),процессор,intel core i7-7700hq (2 * 2800)
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 ( 2048 mb),видео карта,geforce gt 1050ti ( 4096 mb)
directx,version 11,directx,version 11
,,,
windows_min_Damnation,windows_min_Damnation,windows_req_Damnation,windows_req_Damnation
операционная система,windows xp/vista . (if running windows vista sp1 is recommended),операционная система,windows xp/vista. (if running windows vista sp1 is recommended)
процессор,2.8 ghz pentium or amd™ equivalent,процессор,intel core 2 duo @ 2.66ghz or athlon x2 3800+
оперативная память,1 gb,оперативная память,2gb
видео карта,geforce 7600 / radeon x1300 or above,видео карта,"geforce 8800gtx or above, or radeon 3800 series or above"
directx,9.0c,directx,9.0c
диск,10 gb hard drive space,диск,11 gb hard drive space
звуковая карта,directx compatible sound card,звуковая карта,creative sound blaster x-fi sound card.
,,,
windows_min_Sparklite,windows_min_Sparklite,macos_min_Sparklite,macos_min_Sparklite,linux_min_Sparklite,linux_min_Sparklite
операционная система,windows 7 (),операционная система,sierra / later,операционная система,16.04 / latest available lts
оперативная память,2 gb,оперативная память,4 gb,оперативная память,4 gb
