windows_min_Chasing Dead,windows_min_Chasing Dead,windows_req_Chasing Dead,windows_req_Chasing Dead,macos_min_Chasing Dead,macos_min_Chasing Dead,macos_req_Chasing Dead,macos_req_Chasing Dead,linux_min_Chasing Dead,linux_min_Chasing Dead,linux_req_Chasing Dead,linux_req_Chasing Dead
операционная система,"windows xp, windows vista (sp2), windows 7",операционная система,"windows xp, windows vista (sp2), windows 7 (recommended is windows 8.1 )",операционная система,mac os x v10.5,операционная система,mac os x v10.6,операционная система,ubuntu 14.04,операционная система,"ubuntu 14.04,ubuntu 15.10"
процессор,"intel 2.4 ghz core 2 duo, amd 2.6 ghz athlon x2",процессор,intel core i5 4440 3.1 ghz/amd fx 8350 4ghz,процессор,"intel 2.4 ghz core 2 duo, amd 2.6 ghz athlon x2",процессор,intel core i5 4440 3.1 ghz/amd fx 8350 4ghz,процессор,"intel 2.4 ghz core 2 duo, amd 2.6 ghz athlon x2",процессор,intel core i5 4440 3.1 ghz/amd fx 8350 4ghz
оперативная память,4000 mb,оперативная память,12000 mb,оперативная память,4000 mb,оперативная память,8000 mb,оперативная память,4000 mb,оперативная память,8000 mb
видео карта,"amd radeon hd 3870 512mb, nvidia geforce 8800 gt 512 mb, intel hd 4000 integrated 512mb",видео карта,geforce gtx 960 / amd radeon r9 380,видео карта,"amd radeon hd 3870 512mb, nvidia geforce 8800 gt 512 mb, intel hd 4000 integrated 512mb",видео карта,geforce gtx 960 / amd radeon r9 380,видео карта,"amd radeon hd 3870 512mb, nvidia geforce 8800 gt 512 mb, intel hd 4000 integrated 512mb",видео карта,geforce gtx 960 / amd radeon r9 380
directx,version 11,directx,version 11,диск,6000 mb,диск,6000 mb,диск,6000 mb,диск,6000 mb
диск,6000 mb,диск,6000 mb,звуковая карта,yes,звуковая карта,yes,звуковая карта,yes,звуковая карта,yes
,,,,,,,,,,,
windows_min_GUILTY GEAR 2 -OVERTURE-,windows_min_GUILTY GEAR 2 -OVERTURE-,windows_req_GUILTY GEAR 2 -OVERTURE-,windows_req_GUILTY GEAR 2 -OVERTURE-
операционная система,windows 7sp2 / 8.1 / 10,операционная система,windows 7sp2 / 8.1 / 10
процессор,"intel core 2 quad, 2.8ghz and above",процессор,"intel core i5 (quad core), 3.0ghz and above"
оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 9800gt and above,видео карта,geforce gtx 560 / radeon hd 7770 and above
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Euclidean,windows_min_Euclidean,windows_req_Euclidean,windows_req_Euclidean
операционная система,windows xp,операционная система,windows 8
процессор,2 ghz,процессор,intel core i5 3770k ()
оперативная память,2 gb,оперативная память,4 gb
видео карта,sm 3.0 capable,видео карта,nvidia geforce gtx 660 ti ()
directx,version 11,directx,version 11
диск,500 mb,диск,500 mb
,,,
windows_min_Amazing Princess Sarah,windows_min_Amazing Princess Sarah
операционная система,windows xp
процессор,1.6 ghz
оперативная память,1 gb
видео карта,dx 10 compatible graphic card
,
windows_min_Tom Clancy's Rainbow Six® Siege - Kapkan Assassin's Creed Skin,windows_min_Tom Clancy's Rainbow Six® Siege - Kapkan Assassin's Creed Skin,windows_req_Tom Clancy's Rainbow Six® Siege - Kapkan Assassin's Creed Skin,windows_req_Tom Clancy's Rainbow Six® Siege - Kapkan Assassin's Creed Skin
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870 (directx-11 compliant with 1gb of vram),видео карта,nvidia geforce gtx 670 (or gtx 760 / gtx 960) or amd radeon hd 7970 (or r9 280x [2gb vram] / r9 380 / fury x)
звуковая карта,directx 9.0c compatible sound card with latest drivers,звуковая карта,directx 9.0c compatible sound card 5.1 with latest drivers
,,,
