windows_min_Eroico Demo,windows_min_Eroico Demo
операционная система,windows xp+
процессор,dual core
оперативная память,1 gb
видео карта,integrated
directx,version 9.0c
диск,104 mb
звуковая карта,onboard
,
windows_min_Mega Man X5 Sound Collection,windows_min_Mega Man X5 Sound Collection,windows_req_Mega Man X5 Sound Collection,windows_req_Mega Man X5 Sound Collection
операционная система,windows 7 (64bit),операционная система,windows10 (64bit)
процессор,intel core™ i3 550 3.2ghz or amd equivalent,процессор,intel core™ i5 3570 3.4ghz or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 or ati radeon™ hd 7850,видео карта,nvidia geforce gtx 760
directx,version 10,directx,version 11
диск,387 mb,диск,7000 mb
storage (high-quality audio),additional 522 mb,storage (high-quality audio),—
звуковая карта,directsound (directx 10.0c ),звуковая карта,directsound (directx 10.0c )
,,,
windows_min_Medieval Engineers - Deluxe,windows_min_Medieval Engineers - Deluxe,windows_req_Medieval Engineers - Deluxe,windows_req_Medieval Engineers - Deluxe
операционная система,windows vista sp2 32-bit (with kb971512 system update),операционная система,windows 7 sp1
процессор,"intel core 2 quad q6600 @ 2.4 ghz, amd athlon ii x4 620 @ 2.6 ghz",процессор,"core i5-680 @ 3.6ghz, phenom ii x4 810"
оперативная память,3 gb,оперативная память,8 gb
видео карта,amd radeon hd 5830 / nvidia geforce gts 450 with at least 1024 mb vram,видео карта,amd radeon hd 7870 / nvidia geforce gtx 660 with 3 gb vram
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Naval Armada: Fleet Battle,windows_min_Naval Armada: Fleet Battle
операционная система,mac os x 10.8
процессор,2 ghz
оперативная память,1 gb
видео карта,video card with 512 mb
сеть,широкополосное подключение
,
windows_min_World of Warplanes,windows_min_World of Warplanes,windows_req_World of Warplanes,windows_req_World of Warplanes
операционная система,windows 7 / 8 / 10,операционная система,windows 7 x64 / 8 / 10
процессор,intel core i3-2xxx or higher,процессор,"intel core i5-2ххх, amd fx 8xxx / higher"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"shaders 3.0 (nvidia geforce 9600 gt 512mb, radeon hd 3870) / higher)",видео карта,"nvidia geforce gtx 660 1gb, radeon hd 7870 / higher"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,35 gb,диск,45 gb
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Forsaken Castle Demo,windows_min_Forsaken Castle Demo,macos_min_Forsaken Castle Demo,macos_min_Forsaken Castle Demo,linux_min_Forsaken Castle Demo,linux_min_Forsaken Castle Demo
операционная система,"windows 7, windows 10",операционная система,el capitan 10.11.5 32/,операционная система,ubuntu 16.04 lts (64bit)
процессор,intel core i5,процессор,intel core i5,процессор,intel core i5
оперативная память,500 mb,оперативная память,500 mb,оперативная память,500 mb
видео карта,nvidia geforce gt 750m (2gb),видео карта,nvidia geforce gt 750m (2gb),видео карта,nvidia geforce gt 750m (2gb)
,,,,,
windows_min_Dead Rising 4 - Candy Cane Crossbow,windows_min_Dead Rising 4 - Candy Cane Crossbow,windows_req_Dead Rising 4 - Candy Cane Crossbow,windows_req_Dead Rising 4 - Candy Cane Crossbow
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-2400 or amd fx 6300,процессор,intel i7-3770 or amd fx 8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 (2 gb) or amd radeon hd 7850 (2 gb),видео карта,nvidia geforce gtx 970 (4 gb) or amd radeon r9 290 (4 gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_San Matias - Mafia City,windows_min_San Matias - Mafia City,windows_req_San Matias - Mafia City,windows_req_San Matias - Mafia City
операционная система,windows 7/8/8.1/10,операционная система,windows 7/8/8.1/10
процессор,intel core i3,процессор,intel core i7
оперативная память,1 gb,оперативная память,1 gb
видео карта,intel hd 5500,видео карта,geforce gtx 1070
,,,
windows_min_Armored Warfare,windows_min_Armored Warfare,windows_req_Armored Warfare,windows_req_Armored Warfare
операционная система,windows 7/8/10 (x64),операционная система,windows 7/8/10 (x64)
процессор,"intel(r) core2duo cpu 6700 cpu, ~2.7ghz",процессор,"intel(r) core(tm) i5-4440 cpu, ~3.3ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 9500 gt,видео карта,nvidia geforce gtx660
directx,version 9.0,directx,version 12
диск,34 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Dungeon Fighter Online: Re:ZERO Steam DLC,windows_min_Dungeon Fighter Online: Re:ZERO Steam DLC,windows_req_Dungeon Fighter Online: Re:ZERO Steam DLC,windows_req_Dungeon Fighter Online: Re:ZERO Steam DLC
операционная система,microsoft windows 7 32bit,операционная система,microsoft windows 7 64bit and higher
процессор,intel core 2 duo e7500,процессор,intel core 2 duo e7500 or higher
оперативная память,2 gb,оперативная память,4 gb
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,18 gb,диск,18 gb
дополнительно,"hdd space: 18gb hdd space before installation, 10gb hdd space after installation / browser: microsoft internet explorer 10",дополнительно,"hdd space: 18gb hdd space before installation, 10gb hdd space after installation / browser: microsoft internet explorer 10 or higher"
,,,
windows_min_Tempest - Treasure Lands,windows_min_Tempest - Treasure Lands
операционная система,os x version leopard 10.5 and above
процессор,2.4ghz intel core 2 duo
оперативная память,1 gb
видео карта,nvidia geforce 9600m gt
диск,300 mb
,
windows_min_DRAGON BALL XENOVERSE 2 - Extra Pass,windows_min_DRAGON BALL XENOVERSE 2 - Extra Pass,windows_req_DRAGON BALL XENOVERSE 2 - Extra Pass,windows_req_DRAGON BALL XENOVERSE 2 - Extra Pass
операционная система,windows 7 and higher ( only),операционная система,windows 10 ( only)
процессор,"amd phenom ii x2 550, 3.1ghz | intel pentium g4400, 3.30ghz",процессор,"intel core i5-3470, 3.20ghz | amd fx-6300, 3.5ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gt 650 |; radeon hd 6570,видео карта,geforce gt 660 |; radeon hd 7770
,,,
windows_min_Monster Hunter World: Iceborne - Pendant: Stuffed Melynx Teddy,windows_min_Monster Hunter World: Iceborne - Pendant: Stuffed Melynx Teddy,windows_req_Monster Hunter World: Iceborne - Pendant: Stuffed Melynx Teddy,windows_req_Monster Hunter World: Iceborne - Pendant: Stuffed Melynx Teddy
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core™ i5 4460 or core™ i3 9100f / amd fx™-6300 or ryzen™ 3 3200g,процессор,intel core™ i7 3770 or core™ i3 8350 or core™ i3 9350f / amd ryzen™ 5 1500x or ryzen™ 5 3400g
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidiageforcegtx 760 or gtx1050 or amd radeon™ r7 260x or rx 560,видео карта,nvidia geforce gtx 1060 (vram 3gb) or gtx 1650 / amd radeon™ rx 480 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c ),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_Stick Ninja,windows_min_Stick Ninja
операционная система,windows 10
процессор,intel core i5-4210u cpu @ 1.70ghz 2.40 ghz
оперативная память,8 gb
,
