windows_min_The Hunt in the Forest,windows_min_The Hunt in the Forest,windows_req_The Hunt in the Forest,windows_req_The Hunt in the Forest
операционная система,windows 7,операционная система,windows 10 x64
процессор,intel celeron,процессор,intel quad core
оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,gt 730
,,,
windows_min_Call of Duty®: Advanced Warfare - Tiki Personalization Pack,windows_min_Call of Duty®: Advanced Warfare - Tiki Personalization Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_Power Rangers: Battle for the Grid - Anubis Cruger SPD Shadow Ranger,windows_min_Power Rangers: Battle for the Grid - Anubis Cruger SPD Shadow Ranger,windows_req_Power Rangers: Battle for the Grid - Anubis Cruger SPD Shadow Ranger,windows_req_Power Rangers: Battle for the Grid - Anubis Cruger SPD Shadow Ranger
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-3225 @ 3.30ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 8800 gts 512mb,видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,—,directx,version 11
,,,
windows_min_Call of Duty®: Ghosts - Koi Pack,windows_min_Call of Duty®: Ghosts - Koi Pack,windows_req_Call of Duty®: Ghosts - Koi Pack,windows_req_Call of Duty®: Ghosts - Koi Pack
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Medieval Playground,windows_min_Medieval Playground,windows_req_Medieval Playground,windows_req_Medieval Playground
операционная система,windows 7,операционная система,windows 7
процессор,intel dual-core 2.4 ghz,процессор,quad core
оперативная память,4 gb,оперативная память,4 gb
видео карта,1 gb vram,видео карта,nvidia geforce gt 620
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,2 gb
звуковая карта,directx-compatible,звуковая карта,directx-compatible
,,,
