windows_min_Chopper To Hell,windows_min_Chopper To Hell,windows_req_Chopper To Hell,windows_req_Chopper To Hell
операционная система,macos mojave,операционная система,macos mojave
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,4gb,видео карта,8gb
,,,
windows_min_Gears 5 - Pre-Purchase Bonus DLC Content,windows_min_Gears 5 - Pre-Purchase Bonus DLC Content,windows_req_Gears 5 - Pre-Purchase Bonus DLC Content,windows_req_Gears 5 - Pre-Purchase Bonus DLC Content
операционная система,"windows 7 sp1, windows 10",операционная система,windows 10
процессор,amd fx-6000 series |; intel i3 skylake,процессор,amd ryzen 3 | intel i5 skylake
оперативная память,8 gb,оперативная память,8 gb
видео карта,amd radeon r9 280 |; nvidia geforce gtx 760 (windows 10) |; nvidia geforce gtx 1050 (windows 7),видео карта,amd radeon rx 570 |; nvidia geforce gtx 970 (windows 10) |; nvidia geforce gtx 1660ti (windows 7)
directx,version 12,directx,version 12
,,,
windows_min_Last Hope Z - VR,windows_min_Last Hope Z - VR,windows_req_Last Hope Z - VR,windows_req_Last Hope Z - VR
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-4590,процессор,intel core i5-7500
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290,видео карта,nvidia geforce gtx 1070 / amd radeon rx 580
directx,version 10,directx,version 12
,,,
windows_min_Sword Art Online: Fatal Bullet - Betrayal of Comrades,windows_min_Sword Art Online: Fatal Bullet - Betrayal of Comrades,windows_req_Sword Art Online: Fatal Bullet - Betrayal of Comrades,windows_req_Sword Art Online: Fatal Bullet - Betrayal of Comrades
операционная система,windows 7/8/10 ( os required),операционная система,windows 10 ( os required)
процессор,intel core i5 3570k 3.40 ghz / amd fx-4100 quad-core 3.6ghz,процессор,intel core i7-4790 3.6ghz / amd fx-9370 8-core 4.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2 gb,видео карта,nvidia geforce gtx 960 4gb / amd r9 290 hd 4gb
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_Survarium - Steam Shotgun Pack,windows_min_Survarium - Steam Shotgun Pack
оперативная память,6 mb
видео карта,—
directx,version 11
сеть,—
диск,16 mb
,
windows_min_World of Warships — Yubari Steam Edition,windows_min_World of Warships — Yubari Steam Edition,windows_req_World of Warships — Yubari Steam Edition,windows_req_World of Warships — Yubari Steam Edition
операционная система,macos 10.7.5,операционная система,macos 10.10
процессор,intel core i5 4570r,процессор,intel core i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,"intel hd 5000, intel iris 5100",видео карта,nvidia geforce gt 750m
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,43 gb,диск,45 gb
звуковая карта,directx 10.1,звуковая карта,directx 11
,,,
windows_min_Knights of the Temple: Infernal Crusade,windows_min_Knights of the Temple: Infernal Crusade,windows_req_Knights of the Temple: Infernal Crusade,windows_req_Knights of the Temple: Infernal Crusade
операционная система,windows 98,операционная система,windows 98
процессор,intel pentium iii 600,процессор,intel pentium 4 1.5ghz or athlon 1 ghz
оперативная память,192 mb,оперативная память,256 mb
видео карта,direct3d 8.1 compatible 3d accelerator card with transform & lighting capability (geforce 1 or equal),видео карта,3d accelerator card geforce3 or equal
directx,version 8.1,directx,version 8.1
звуковая карта,direct sound compatible sound device,звуковая карта,direct sound compatible sound device
,,,
windows_min_Hentai Shooter 3D - Uncensored Art Collection,windows_min_Hentai Shooter 3D - Uncensored Art Collection
операционная система,microsoft windows
процессор,intel pentium iii 800 mhz
оперативная память,512 mb
видео карта,directx or opengl compatible card
,
"windows_min_DYNASTY WARRIORS 9: Ling Tong ""Samurai Costume"" / ","windows_min_DYNASTY WARRIORS 9: Ling Tong ""Samurai Costume"" / ","windows_req_DYNASTY WARRIORS 9: Ling Tong ""Samurai Costume"" / ","windows_req_DYNASTY WARRIORS 9: Ling Tong ""Samurai Costume"" / "
операционная система,windows 7/8.1/10 64bit,операционная система,windows 7/8.1/10 64bit
процессор,core i5 2400 or over,процессор,core i7 3770 or over
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or over,видео карта,nvidia geforce gtx 1060 or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_La Tale - Evolved,windows_min_La Tale - Evolved,windows_req_La Tale - Evolved,windows_req_La Tale - Evolved
операционная система,windows xp,операционная система,windows vista / 7 / 8 / 10
процессор,pentium 4 2.0 ghz,процессор,intel core i3 530
оперативная память,2 gb,оперативная память,2 gb
видео карта,"geforce4 mx, ati radeon 9000",видео карта,"geforce 7 series, ati radeon hd"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Monster Hunter: World - Sticker Set: Monsters of the New World,windows_min_Monster Hunter: World - Sticker Set: Monsters of the New World,windows_req_Monster Hunter: World - Sticker Set: Monsters of the New World,windows_req_Monster Hunter: World - Sticker Set: Monsters of the New World
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intel core™ i5-4460, 3.20ghz or amd fx™-6300",процессор,intel core™ i7 3770 3.4ghz or intel core™ i3 8350 4ghz or amd ryzen™ 5 1500x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x (vram 2gb),видео карта,nvidia geforce gtx 1060 (vram 3gb) or amd radeon™ rx 570 (vram 4gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,48 gb,диск,48 gb
звуковая карта,directsound (directx 9.0c),звуковая карта,directsound (directx 9.0c )
,,,
windows_min_The Incredible Adventures of Van Helsing: Blue Blood,windows_min_The Incredible Adventures of Van Helsing: Blue Blood,windows_req_The Incredible Adventures of Van Helsing: Blue Blood,windows_req_The Incredible Adventures of Van Helsing: Blue Blood
операционная система,osx 10.6 (snow leopard),операционная система,osx 10.6 (snow leopard)
процессор,dual core cpu 2.0 ghz,процессор,quad core cpu 2.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia 330m, intel hd4000 or amd hd4670",видео карта,nvidia 285m or nvidia 640m or amd hd4870
directx,9.0c,directx,11
диск,20 gb hd space,диск,20 gb hd space
,,,
windows_min_AIR Battlefront,windows_min_AIR Battlefront,macos_min_AIR Battlefront,macos_min_AIR Battlefront,linux_min_AIR Battlefront,linux_min_AIR Battlefront
операционная система,windows 7 sp1+,операционная система,macos 10.12+,операционная система,ubuntu 12.04+ / steamos+
процессор,intel pentium or similar,процессор,intel pentium or similar,процессор,intel pentium or similar
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,directx 10 compatible,видео карта,directx 10 compatible,видео карта,directx 10 compatible
диск,150 mb,диск,150 mb,диск,150 mb
,,,,,
windows_min_Portal Knights - Portal Pioneer Pack,windows_min_Portal Knights - Portal Pioneer Pack,windows_req_Portal Knights - Portal Pioneer Pack,windows_req_Portal Knights - Portal Pioneer Pack
операционная система,"64bit versions of windows 7, windows 8, windows 10",операционная система,"64bit versions of windows 7, windows 8, windows 10"
процессор,"amd phenom(tm) 8450 triple-core (3 cpus), ~2.1ghz or intel core 2 duo e8400 @ 3.0 ghz",процессор,amd fx 8120 @ 3.1 ghz or intel i3 2100 @ 3.10 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 470 (1gb vram) / ati radeon tm hd 6870 (1gb vram),видео карта,"nvidia geforce gtx 750ti, ati radeon™ hd 7850"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Total War: WARHAMMER II - Lokhir Fellheart,windows_min_Total War: WARHAMMER II - Lokhir Fellheart,windows_req_Total War: WARHAMMER II - Lokhir Fellheart,windows_req_Total War: WARHAMMER II - Lokhir Fellheart
операционная система,windows 7 64bit,операционная система,windows 7 / 8 (8.1)/ 10 64bit
процессор,intel core™ 2 duo 3.0ghz,процессор,intel core™ i5-4570 3.20ghz
оперативная память,5 gb,оперативная память,8 gb
видео карта,nvidia gtx 460 1gb |; amd radeon hd 5770 1gb |; intel hd4000 @720p,видео карта,nvidia geforce gtx 770 4gb |; amd radeon r9 290x 4gb @1080p
directx,version 11,directx,version 11
,,,
windows_min_Sea Dogs,windows_min_Sea Dogs,windows_req_Sea Dogs,windows_req_Sea Dogs
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,windows xp / vista / 7 / 8 / 10
процессор,1.8 ghz,процессор,1.8 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,"nvidia geforce, amd radeon",видео карта,"nvidia geforce, amd radeon"
directx,version 9.0,directx,version 9.0
диск,2 gb,диск,2 gb
,,,
windows_min_Try 'n Cry - Prologue,windows_min_Try 'n Cry - Prologue,windows_req_Try 'n Cry - Prologue,windows_req_Try 'n Cry - Prologue
операционная система,windows 7/10,операционная система,windows 7/10
процессор,"quad-core intel o amd, 3 ghz",процессор,"quad-core intel o amd, 3.40 ghz"
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 660 / radeon hd 7870,видео карта,geforce gtx 1050 / radeon rx 540
directx,version 11,directx,version 11
,,,
windows_min_WAIFU HORROR: The Eight Pictures - Nudity DLC (18+),windows_min_WAIFU HORROR: The Eight Pictures - Nudity DLC (18+)
операционная система,windows 7 sp1+
процессор,intel core 2 or similar
оперативная память,2 gb
видео карта,graphics card with dx10
directx,version 10
диск,300 mb
,
windows_min_Total War: WARHAMMER - Bretonnia,windows_min_Total War: WARHAMMER - Bretonnia,windows_req_Total War: WARHAMMER - Bretonnia,windows_req_Total War: WARHAMMER - Bretonnia,macos_min_Total War: WARHAMMER - Bretonnia,macos_min_Total War: WARHAMMER - Bretonnia,macos_req_Total War: WARHAMMER - Bretonnia,macos_req_Total War: WARHAMMER - Bretonnia,linux_min_Total War: WARHAMMER - Bretonnia,linux_min_Total War: WARHAMMER - Bretonnia,linux_req_Total War: WARHAMMER - Bretonnia,linux_req_Total War: WARHAMMER - Bretonnia
операционная система,windows 7 64bit,операционная система,windows 7/8.1/10 64bit,операционная система,macos 10.12.4,операционная система,—,операционная система,ubuntu 16.04 or steam os 2.0 ( required),операционная система,ubuntu 16.04 or steam os 2.0 ( required)
процессор,intel core™ 2 duo 3.0ghz,процессор,intel core™ i5-4570 3.20ghz,процессор,2.0ghz intel core i5,процессор,—,процессор,"3.4ghz intel core i3-4130, 3.5ghz amd fx6300",процессор,3.4 ghz intel core i7-4770
оперативная память,3 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,(directx 11) amd radeon hd 5770 1024mb |; nvidia gts 450 1024mb |; intel hd4000 @720p,видео карта,(directx 11) amd radeon r9 270x 2048mb |; nvidia geforce gtx 760 2048mb @1080p,видео карта,"all amd graphics cards released from 2014 onwards, all nvidia cards with 2gb+ vram released from 2012 onwards, (macbookpro only) intel iris graphics 540 & 550 cards released from 2016 onwards",видео карта,—,видео карта,"1gb nvidia 650ti (driver version 367.28), 2gb amd r9 270 (mesa 13.0.1 driver compiled using llvm 3.9)",видео карта,"4gb nvidia 970 (driver version 367.28), 4gb amd rx 480 (mesa 13.0.1 driver compiled using llvm 3.9)"
directx,version 11,directx,version 11,диск,37 gb,диск,—,диск,29 gb,диск,35 gb
диск,35 gb,диск,35 gb,дополнительно,"the following graphics cards are capable of running the game, but do not consistently meet the standards required for official support: all nvidia cards with 1 gb vram released from 2012 onwards, all intel iris ...  and iris pro cards released from 2013 onwards apart from the 540 and 550 cards listed above.  еще",дополнительно,—,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.
,,,,,,,,,,,
windows_min_We Happy Few - Season Pass,windows_min_We Happy Few - Season Pass,windows_req_We Happy Few - Season Pass,windows_req_We Happy Few - Season Pass
операционная система,", windows 7 and above",операционная система,", windows 7 and above"
процессор,"triple-core intel or amd, 2.0 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 460 gtx or amd radeon 5870 hd series or higher mobile: nvidia geforce gtx 580m or higher.,видео карта,nvidia geforce 660 gtx or amd radeon 7870 hd series or higher
directx,version 11,directx,version 11
,,,
windows_min_Rocket League® - MLB Fan Pack,windows_min_Rocket League® - MLB Fan Pack,windows_req_Rocket League® - MLB Fan Pack,windows_req_Rocket League® - MLB Fan Pack
операционная система,macos x 10.8.5,операционная система,macos x 10.8.5
процессор,2.4+ ghz quad core,процессор,2.5+ ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
диск,9 gb,диск,9 gb
дополнительно,—,дополнительно,gamepad or controller recommended
,,,
windows_min_Hitman: Absolution: High Tech Disguise,windows_min_Hitman: Absolution: High Tech Disguise,windows_req_Hitman: Absolution: High Tech Disguise,windows_req_Hitman: Absolution: High Tech Disguise
операционная система,os x 10.9.2 mavericks,операционная система,os x 10.9.2 mavericks
процессор,2.0 ghz,процессор,2.4 ghz
storage space,24gb,storage space,24gb
оперативная память,4gb memory,оперативная память,8gb memory
видео карта,512 mb*,видео карта,1gb*
directx,10,directx,11
диск,24 gb hd space,диск,24 gb hd space
,,,
windows_min_JUMP FORCE Character Pack 6: Toshiro Hitsugaya,windows_min_JUMP FORCE Character Pack 6: Toshiro Hitsugaya,windows_req_JUMP FORCE Character Pack 6: Toshiro Hitsugaya,windows_req_JUMP FORCE Character Pack 6: Toshiro Hitsugaya
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,"intel core i5-2300, 2.80 ghz / amd a10-7850k, 3.70 ghz",процессор,intel core i7-6700 / amd ryzen 5 1400
видео карта,"geforce gtx 660 ti, 3 gb / radeon hd 7950, 3 gb",видео карта,geforce gtx 1060 / radeon r9 fury
directx,version 11,directx,version 11
,,,
windows_min_Mafia II DLC: Betrayal of Jimmy,windows_min_Mafia II DLC: Betrayal of Jimmy,windows_req_Mafia II DLC: Betrayal of Jimmy,windows_req_Mafia II DLC: Betrayal of Jimmy
операционная система,10.10.5,операционная система,—
процессор,2.0ghz intel core i3,процессор,—
оперативная память,4gb,оперативная память,—
диск,8gb,диск,—
видео карта,"512mb amd 5650, 512mb nvidia 650m, intel hd4000* (see notes for more details)",видео карта,—
звуковая карта,100% directx 9.0c compatible sound card,звуковая карта,100% directx 9.0c compatible sound card
