windows_min_VALHALL Tests,windows_min_VALHALL Tests,windows_req_VALHALL Tests,windows_req_VALHALL Tests
операционная система,"windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,intel core i5 - 6600k or amd equivalent,процессор,intel core i7 6700 or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 680,видео карта,nvidia gtx 1080 or amd equivalent
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Warhammer: Vermintide 2 Cosmetic - Marienburg Bicorne,windows_min_Warhammer: Vermintide 2 Cosmetic - Marienburg Bicorne,windows_req_Warhammer: Vermintide 2 Cosmetic - Marienburg Bicorne,windows_req_Warhammer: Vermintide 2 Cosmetic - Marienburg Bicorne
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 10
процессор,intel core i5-2300 @ 2.80 ghz / amd fx-4350 @ 4.2 ghz,процессор,intel core i7- 3770 @ 3.5 ghz or amd fx-8350 @ 4 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870,видео карта,nvidia geforce gtx 970 / 1060 or ati radeon r9 series
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Gangsta Sniper 3: Final Parody,windows_min_Gangsta Sniper 3: Final Parody,windows_req_Gangsta Sniper 3: Final Parody,windows_req_Gangsta Sniper 3: Final Parody
операционная система,windows 8.1,операционная система,windows 8.1
процессор,i5,процессор,i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 900 series,видео карта,nvidia geforce 900 series
directx,version 9.0,directx,version 9.0
диск,10 gb,диск,10 gb
,,,
windows_min_Infernal Radiation,windows_min_Infernal Radiation
операционная система,windows 7/8/10
процессор,intel core i3 or amd fx equivalent
оперативная память,8 gb
видео карта,gtx 660
directx,version 9.0c
диск,3 gb
,
windows_min_Time Warrior Z VR,windows_min_Time Warrior Z VR,windows_req_Time Warrior Z VR,windows_req_Time Warrior Z VR
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i5-4590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1050,видео карта,nvidia gtx 1060
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Star Conflict: Ellidium Destroyer Starter pack,windows_min_Star Conflict: Ellidium Destroyer Starter pack,windows_req_Star Conflict: Ellidium Destroyer Starter pack,windows_req_Star Conflict: Ellidium Destroyer Starter pack
операционная система,windows xp,операционная система,windows 7/8/10
процессор,"2.0 ghz, intel pentium 4 / amd athlon ii",процессор,"2.3 ghz, intel core 2 duo / amd"
оперативная память,4 gb,оперативная память,4 gb
видео карта,"512 mb, nvidia / amd radeon / intel (hd 3000, hd 4000) with support for pixel shader 3.0 (amd radeon x1000 not supported)",видео карта,"1024 mb, nvidia geforce 650 / amd radeon hd 5750"
диск,6 gb,диск,6 gb
,,,
windows_min_Dead Frontier 2,windows_min_Dead Frontier 2,windows_req_Dead Frontier 2,windows_req_Dead Frontier 2
операционная система,windows,операционная система,windows
процессор,intel core i3 or amd fx,процессор,intel core i7 or amd ryzen 7
оперативная память,8 gb,оперативная память,16 gb
видео карта,radeon hd 8550,видео карта,gtx 1050
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_ The Ark of Horizon,windows_min_ The Ark of Horizon,windows_req_ The Ark of Horizon,windows_req_ The Ark of Horizon
операционная система,"windows 7, windows 8.1, windows 10 ( version)",операционная система,"windows 7, windows 8.1, windows 10 ( version)"
процессор,"intel i3 8130u(2cores, 2.3ghz)",процессор,"intel i5 2500(4 core, 3.3hgz)"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 730,видео карта,nvidia geforce gtx 1050
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3.2 gb,диск,3.2 gb
,,,
windows_min_Warhammer: Chaosbane - Pets Pack,windows_min_Warhammer: Chaosbane - Pets Pack,windows_req_Warhammer: Chaosbane - Pets Pack,windows_req_Warhammer: Chaosbane - Pets Pack
операционная система,windows 7 64bits,операционная система,windows 10 64bits
процессор,intel core i3-540 or amd phenom ii x4 940,процессор,intel core i7-3770 or amd fx-8350
оперативная память,4 mb,оперативная память,8 mb
видео карта,nvidia geforce gtx 560 or amd radeon hd 6870,видео карта,nvidia gtx 780 or amd r9 290
диск,20 mb,диск,20 mb
звуковая карта,directx compatible soundcard,звуковая карта,directx compatible soundcard
,,,
windows_min_Deer Hunter: Reloaded,windows_min_Deer Hunter: Reloaded,windows_req_Deer Hunter: Reloaded,windows_req_Deer Hunter: Reloaded
операционная система,"windows 7, windows 8.1",операционная система,windows 10
процессор,intel dual core 2.4ghz,процессор,intel core i7 6700
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gforce gtx 750 ti,видео карта,nvidia gforce 980 ti
directx,version 11,directx,version 11
,,,
windows_min_Warhammer: End Times - Vermintide Last Stand,windows_min_Warhammer: End Times - Vermintide Last Stand,windows_req_Warhammer: End Times - Vermintide Last Stand,windows_req_Warhammer: End Times - Vermintide Last Stand
операционная система,"windows 7, windows 8/8.1, windows 10 *",операционная система,"windows 7, windows 8/8.1, windows 10 *"
процессор,intel core2 quad q9500 @ 2.83ghz or amd phenom ii x4 940,процессор,intel core i7-4790k @ 4.00 ghz or amd fx-9590 @ 4.7 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 1gb vram,видео карта,nvidia geforce gtx 780 or amd gpu radeon r9 290
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_River City Melee Mach!!,windows_min_River City Melee Mach!!
операционная система,windows 7 / 8.1 / 10 (64bit)
процессор,intel core i3-4005u cpu @ 1.70 ghz
оперативная память,4 gb
видео карта,intel hd graphics 4400
directx,version 11
,
windows_min_God Hand,windows_min_God Hand,windows_req_God Hand,windows_req_God Hand
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350,процессор,intel i7-6700
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290,видео карта,nvidia geforce gtx 1070
,,,
windows_min_Forest Escape,windows_min_Forest Escape
операционная система,"xp, vista, windows 7"
процессор,1.6 ghz
оперативная память,256 mb
видео карта,256mb
,
windows_min_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_min_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_req_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_req_The Bureau: XCOM Declassified - Light Plasma Pistol
операционная система,mac os x mountain lion 10.7.5 or higher,операционная система,mac os x lion 10.9 or higher
процессор,intel core i series,процессор,intel core i series
оперативная память,4 gb,оперативная память,4 gb
видео карта,amd hd4870 / nvidia 8800gt / intel iris graphics,видео карта,amd hd5870 / nvidia 650m
диск,15 gb,диск,15 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
дополнительно,keyboard and 3 button mouse or logitech dual analog stick gamepad,дополнительно,keyboard and 3 button mouse or logitech dual analog stick gamepad
,,,
windows_min_Venineth,windows_min_Venineth,windows_req_Venineth,windows_req_Venineth
операционная система,windows 7/8/10 ( os required),операционная система,windows 10 ( os required)
процессор,intel core i5-2300 2.8 ghz (or amd equivalent),процессор,intel core i5-4670k 3.40ghz (or amd equivalent)
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx 760 (or amd equivalent),видео карта,nvidia gtx 1060 (or amd equivalent)
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Poppy's Nightmare,windows_min_Poppy's Nightmare,windows_req_Poppy's Nightmare,windows_req_Poppy's Nightmare
операционная система,windows 7/10,операционная система,windows 7/10
процессор,intel core i5-8400,процессор,intel core i7-4790
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 860,видео карта,nvidia gtx 860
,,,
windows_min_Closers: Rogue Agents Pack,windows_min_Closers: Rogue Agents Pack,windows_req_Closers: Rogue Agents Pack,windows_req_Closers: Rogue Agents Pack
операционная система,windows 7,операционная система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
