windows_min_The Godfather 2,windows_min_The Godfather 2
операционна€ система,windows xp or higher
процессор,intel pentium 4 2.8 ghz or amd 64 3000+
оперативна€ пам€ть,1 gb (2 gb for vista)
видео карта,256 mb video card with shader 3.0 (nvidia geforce 6800 or ati radeon x1600 pro)
directxЃ,9.0c
диск,9 gb of free space
звукова€ карта,directx 9.0c compliant card
,
windows_min_Fallout New Vegas: Lonesome Road,windows_min_Fallout New Vegas: Lonesome Road
операционна€ система,windows 7/vista/xp
процессор,dual core 2.0ghz
оперативна€ пам€ть,2 gb
видео карта,"nvidia geforce 6 series, ati 1300xt series"
,
windows_min_Call of DutyЃ: Ghosts - Squad Pack - Resistance,windows_min_Call of DutyЃ: Ghosts - Squad Pack - Resistance,windows_req_Call of DutyЃ: Ghosts - Squad Pack - Resistance,windows_req_Call of DutyЃ: Ghosts - Squad Pack - Resistance
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
"windows_min_METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""","windows_min_METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""","windows_req_METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""","windows_req_METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE"""
операционна€ система,"windows 7x64, windows 8x64 ( os required)",операционна€ система,"windows 7x64, windows 8x64 ( os required)"
процессор,intel core i5-4460 (3.40 ghz) ; quad-core,процессор,intel core i7-4790 (3.60ghz) ; quad-core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 650 (2gb) (directx 11 card required),видео карта,nvidia geforce gtx 760 (directx 11 graphic card required)
directx,version 11,directx,version 11
диск,28 gb,диск,28 gb
,,,
windows_min_JUMP FORCE Character Pack 8: Grimmjow Jaegerjaquez,windows_min_JUMP FORCE Character Pack 8: Grimmjow Jaegerjaquez,windows_req_JUMP FORCE Character Pack 8: Grimmjow Jaegerjaquez,windows_req_JUMP FORCE Character Pack 8: Grimmjow Jaegerjaquez
операционна€ система,windows 7/8/10 ( os required),операционна€ система,windows 7/8/10 ( os required)
процессор,"intel core i5-2300, 2.80 ghz / amd a10-7850k, 3.70 ghz",процессор,intel core i7-6700 / amd ryzen 5 1400
видео карта,"geforce gtx 660 ti, 3 gb / radeon hd 7950, 3 gb",видео карта,geforce gtx 1060 / radeon r9 fury
directx,version 11,directx,version 11
,,,
windows_min_Aim Bot,windows_min_Aim Bot,windows_req_Aim Bot,windows_req_Aim Bot
операционна€ система,windows 7,операционна€ система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,2nd generation intel core series (sandy bridge) or higher. amd fx- series or faster.
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce 770 gtx or amd radeon hd 7970 series card or higher
,,,
windows_min_Aim FTW,windows_min_Aim FTW,windows_req_Aim FTW,windows_req_Aim FTW
операционна€ система,macos 10.12+,операционна€ система,macos 10.15+
процессор,intel coreЩ i5 1.6ghz,процессор,intel coreЩ i7
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,intel uhd graphics 617 1536 mb and up,видео карта,intel iris plus graphics 645
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,10 gb
,,,
windows_min_Borderlands 2: Assassin Madness Pack,windows_min_Borderlands 2: Assassin Madness Pack,windows_req_Borderlands 2: Assassin Madness Pack,windows_req_Borderlands 2: Assassin Madness Pack
операционна€ система,10.12 (sierra),операционна€ система,10.12 (sierra)
процессор,2.4 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
диск,13 gb,диск,Ч
video memory,256 mb,video memory,512 mb
видео карта,ati radeon hd 2600 / nvidia geforce 8800,видео карта,ati radeon hd 5750 / nvidia geforce 650m
звукова€ карта,directx 9.0c compatible,звукова€ карта,directx 9.0c compatible
