windows_min_Witch Sword,windows_min_Witch Sword
операционна€ система,"windows 7 ,"
процессор,intel i3 2100
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gts450
directx,version 11
диск,2 gb
,
windows_min_Road Redemption - Revengers Assemble,windows_min_Road Redemption - Revengers Assemble,windows_req_Road Redemption - Revengers Assemble,windows_req_Road Redemption - Revengers Assemble,macos_min_Road Redemption - Revengers Assemble,macos_min_Road Redemption - Revengers Assemble,macos_req_Road Redemption - Revengers Assemble,macos_req_Road Redemption - Revengers Assemble,linux_min_Road Redemption - Revengers Assemble,linux_min_Road Redemption - Revengers Assemble,linux_req_Road Redemption - Revengers Assemble,linux_req_Road Redemption - Revengers Assemble
операционна€ система,"windows xp, vista",операционна€ система,"windows 7, 8, 10",операционна€ система,mac os x 10.7 (latest version),операционна€ система,mac os x 10.8 (latest version),операционна€ система,ubuntu 14.04 / steamos,операционна€ система,ubuntu 14.04 / steamos
процессор,1.4ghz or faster,процессор,2ghz or faster,процессор,intel coreЩ 2 duo,процессор,intel core i3,процессор,2ghz,процессор,3 ghz
оперативна€ пам€ть,8 mb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,directx 9-compatible graphics card with at least 1.5gb of video memory,видео карта,directx 9-compatible graphics card with at least 2gb of video memory,видео карта,nvidia geforce 8600m gt or atiЩ radeonЩ hd 2600 pro,видео карта,nvidia geforce gt 650m or ati radeon hd 5670,видео карта,1.5gb of video memory,видео карта,2 gb of video memory
directx,version 9.0,directx,version 9.0,диск,1000 mb,диск,2500 mb,диск,4 gb,диск,6 gb
,,,,,,,,,,,
windows_min_Fate/EXTELLA LINK - Conqueror of Turbulent Times,windows_min_Fate/EXTELLA LINK - Conqueror of Turbulent Times
операционна€ система,windows 7+
процессор,intel core i5-760 @ 2.8 ghz
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 750
directx,version 11
диск,14 gb
,
windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Kokoro,windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Kokoro,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Kokoro,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Kokoro
операционна€ система,windows vista/7/8/8.1 (32bit/64bit),операционна€ система,windows vista/7/8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звукова€ карта,directx 9.0c over,звукова€ карта,directx 9.0c over
,,,
windows_min_Call of DutyЃ: Black Ops II - UK Punk Personalization Pack,windows_min_Call of DutyЃ: Black Ops II - UK Punk Personalization Pack
операционна€ система,windows vista sp2/windows 7
процессор,intel core 2 duo e8200 2.66 ghz or amd phenom x3 8750 2.4 ghz
оперативна€ пам€ть,2 gb
видео карта,amd radeon hd 3870 512mb or nvidia geforce 8800 gt 512mb
directx,version 9.0c
сеть,широкополосное подключение
диск,16 gb
звукова€ карта,directx 9.0c
,
windows_min_Wasteland Survival,windows_min_Wasteland Survival
операционна€ система,osx 10.9 or higher
процессор,2 ghz equivalent cpu
оперативна€ пам€ть,4 gb
видео карта,opengl 3 compatible gpu with 1gb video
directx,version 10
сеть,широкополосное подключение
,
windows_min_Call of DutyЃ: Ghosts - Hesh Special Character,windows_min_Call of DutyЃ: Ghosts - Hesh Special Character,windows_req_Call of DutyЃ: Ghosts - Hesh Special Character,windows_req_Call of DutyЃ: Ghosts - Hesh Special Character
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_World of Warships Ч Smith Steam Edition,windows_min_World of Warships Ч Smith Steam Edition,windows_req_World of Warships Ч Smith Steam Edition,windows_req_World of Warships Ч Smith Steam Edition
операционна€ система,macos 10.7.5,операционна€ система,macos 10.10
процессор,intel core i5 4570r,процессор,intel core i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,"intel hd 5000, intel iris 5100",видео карта,nvidia geforce gt 750m
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,43 gb,диск,45 gb
звукова€ карта,directx 10.1,звукова€ карта,directx 11
,,,
windows_min_Hentai Shooter 2 - Uncensored Art Collection,windows_min_Hentai Shooter 2 - Uncensored Art Collection
операционна€ система,microsoft windows
процессор,intel pentium iii 800 mhz
оперативна€ пам€ть,512 mb
видео карта,directx or opengl compatible card
,
windows_min_Ori and the Blind Forest (Additional Soundtrack),windows_min_Ori and the Blind Forest (Additional Soundtrack),windows_req_Ori and the Blind Forest (Additional Soundtrack),windows_req_Ori and the Blind Forest (Additional Soundtrack)
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core 2 duo e4500 @ 2.2ghz or amd athlon 64 x2 5600+ @ 2.8 ghz,процессор,intel core i5 2300 or amd fx6120
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 mb
видео карта,geforce 240 gt or radeon hd 6570 Ц 1024 mb (1 gig),видео карта,geforce gtx 550 ti or radeon hd 6770
directx,version 9.0,directx,version 11
,,,
windows_min_Gamma Bros,windows_min_Gamma Bros
операционна€ система,10.6
процессор,1 ghz cpu
,
windows_min_Xenia,windows_min_Xenia,windows_req_Xenia,windows_req_Xenia
операционна€ система,windows 7/8/8.1/10,операционна€ система,windows 7/8/8.1/10
процессор,intel core2duo,процессор,intel core i3
оперативна€ пам€ть,256 mb,оперативна€ пам€ть,512 mb
видео карта,onboard,видео карта,dedicated
,,,
windows_min_RESIDENT EVIL 2 - Claire Costume: '98,windows_min_RESIDENT EVIL 2 - Claire Costume: '98,windows_req_RESIDENT EVIL 2 - Claire Costume: '98,windows_req_RESIDENT EVIL 2 - Claire Costume: '98
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,intel coreЩ i5-4460 or amd fxЩ-6300,процессор,intel coreЩ i7-3770 or amd fxЩ-9590
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeonЩ rx 480 with 3gb vram
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_Streets of Rage,windows_min_Streets of Rage,windows_req_Streets of Rage,windows_req_Streets of Rage
операционна€ система,windows xp or higher,операционна€ система,windows xp or higher
видео карта,32mb graphics card,видео карта,Ч
directx,directx 9.0,directx,directx 9c
диск,50mb free disc space,диск,50mb free disc space
,,,
