windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
операционна€ система,"windows 7 service pack 1, windows 8, or windows 10",операционна€ система,"windows 7 service pack 1, windows 8, or windows 10"
процессор,intel core i5 2500k,процессор,intel core i7-5820k 6x 3.3 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,geforce gtx 960 or higher,видео карта,geforce gtx 1070 or higher
directx,version 10,directx,version 10
,,,
windows_min_Crash BandicootЩ N. Sane Trilogy,windows_min_Crash BandicootЩ N. Sane Trilogy
операционна€ система,windows 7
процессор,intel core i5-750 @ 2.67ghz |; amd phenom ii x4 965 @ 3.4ghz
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 2gb |; amd radeon hd 7850 2gb
directx,version 9.0c
диск,30 gb
,
windows_min_PaladinsЃ,windows_min_PaladinsЃ,windows_req_PaladinsЃ,windows_req_PaladinsЃ
операционна€ система,os x 10.10,операционна€ система,os x 10.10
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,"intel core i5-750, 2.67 ghz / amd phenom ii x4 965, 3.4 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"ati or nvidia graphics card with 512mb video and shader model 3.0+ support. (ati radeon 3870 or higher, nvidia geforce 8800 gt or higher)",видео карта,nvidia geforce gtx 560 / amd radeon hd 6950 with 768 mb+ of vram (directx 11 compatible)
диск,15 gb,диск,15 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_S.T.A.L.K.E.R.: Clear Sky,windows_min_S.T.A.L.K.E.R.: Clear Sky,windows_req_S.T.A.L.K.E.R.: Clear Sky,windows_req_S.T.A.L.K.E.R.: Clear Sky
операционна€ система,microsoft windows xp(service pack 2)/microsoft windows 2000 sp4,операционна€ система,microsoft windows xp/vista (sp1)
процессор,intel pentium 4 2.0 ghz / amd xp 2200+,процессор,intel core 2 duo e6400 / amd 64 x2 4200+
видео карта,128 mb directx 8.0 compatible card / nvidia geforceЩ 5700 / ati radeon 9600,видео карта,256 mb directx 9.0c compatible card* / nvidia geforceЩ 8800 gt / ati radeon hd 2900 xt
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,2 gb
звукова€ карта,directx 9.0 compatible sound card,звукова€ карта,directx 9.0 compatible sound card
,,,
windows_min_Sonic Adventure 2,windows_min_Sonic Adventure 2,windows_req_Sonic Adventure 2,windows_req_Sonic Adventure 2
операционна€ система,windows xp/vista/win7,операционна€ система,windows 7
процессор,pentium 4 @ 3.2 ghz/athlon 64 3000+ &; above,процессор,intel core 2 duo @ 2.4 ghz/athlon 64 x2 4200+ &; above
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,256 mb (nvidia geforce 8600 / at radeon hd3650) &; above,видео карта,512 mb (nvidia geforce gts250 / ati radeon hd 4850) &; above
directx,9.0c,directx,11
диск,3 gb hd space,диск,6 gb hd space
,,,
windows_min_SpyroЩ Reignited Trilogy,windows_min_SpyroЩ Reignited Trilogy,windows_req_SpyroЩ Reignited Trilogy,windows_req_SpyroЩ Reignited Trilogy
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i3-2100 |; amd fx-6300,процессор,intel core i5-2500k |; amd fx-8350
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 (2 gb) |; amd radeon hd 7850 (2 gb),видео карта,nvidia geforce gtx 960 (2 gb) |; amd radeon rx 480
directx,version 9.0,directx,version 9.0
диск,40 gb,диск,40 gb
,,,
