windows_min_Shadow of the Tomb Raider - The Price of Survival,windows_min_Shadow of the Tomb Raider - The Price of Survival,windows_req_Shadow of the Tomb Raider - The Price of Survival,windows_req_Shadow of the Tomb Raider - The Price of Survival
операционная система,windows 7,операционная система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_ONE PIECE World Seeker Episode Pass,windows_min_ONE PIECE World Seeker Episode Pass,windows_req_ONE PIECE World Seeker Episode Pass,windows_req_ONE PIECE World Seeker Episode Pass
операционная система,"windows 7, sp1",операционная система,windows 10
процессор,intel core i5-2300 or amd a10-7850k,процессор,intel core i7-3770 or amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660 or radeon hd 7950,видео карта,geforce gtx 1060 or radeon rx 580
directx,version 11,directx,version 11
,,,
windows_min_Quantum of Solace,windows_min_Quantum of Solace
,
windows_min_Call of Duty®: Black Ops II - Dragon Personalization Pack,windows_min_Call of Duty®: Black Ops II - Dragon Personalization Pack
операционная система,windows vista sp2/windows 7
процессор,intel core 2 duo e8200 2.66 ghz or amd phenom x3 8750 2.4 ghz
оперативная память,2 gb
видео карта,amd radeon hd 3870 512mb or nvidia geforce 8800 gt 512mb
directx,version 9.0c
сеть,широкополосное подключение
диск,16 gb
звуковая карта,directx 9.0c
,
windows_min_Beat Aim - Rhythm FPS Shooter,windows_min_Beat Aim - Rhythm FPS Shooter,windows_req_Beat Aim - Rhythm FPS Shooter,windows_req_Beat Aim - Rhythm FPS Shooter
операционная система,windows 7 sp1+ 64bit,операционная система,—
процессор,sse2 instruction set support,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,graphics card with dx10 (shader model 4.0) capabilities,видео карта,—
directx,version 10,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Shadow of the Tomb Raider - Force of Chaos Gear,windows_min_Shadow of the Tomb Raider - Force of Chaos Gear,windows_req_Shadow of the Tomb Raider - Force of Chaos Gear,windows_req_Shadow of the Tomb Raider - Force of Chaos Gear
операционная система,windows 7,операционная система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_Null Vector,windows_min_Null Vector
операционная система,"windows 7, windows 8.1, windows 10"
процессор,i3 3110m
оперативная память,4 gb
видео карта,"nvidia geforce gtx 670mx, intel hd graphics 4000"
диск,500 mb
,
windows_min_Devil May Cry 5 - Super Character 3-Pack,windows_min_Devil May Cry 5 - Super Character 3-Pack,windows_req_Devil May Cry 5 - Super Character 3-Pack,windows_req_Devil May Cry 5 - Super Character 3-Pack
операционная система,"windows 7, 8.1, 10",операционная система,"windows 7, 8.1, 10"
процессор,"intel core™ i5-4460, amd fx™-6300,",процессор,"intel core™ i7-3770, amd fx™-9590,"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeon™ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_Paladins - Digital Deluxe Edition 2019 + 2020,windows_min_Paladins - Digital Deluxe Edition 2019 + 2020,windows_req_Paladins - Digital Deluxe Edition 2019 + 2020,windows_req_Paladins - Digital Deluxe Edition 2019 + 2020
операционная система,windows 7,операционная система,windows 8/10 (latest service pack)
процессор,core 2 duo 2.4 ghz or athlon x2 2.7 ghz,процессор,"intel core i5-750, 2.67 ghz / amd phenom ii x4 965, 3.4 ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 8800 gt,видео карта,nvidia geforce gtx 660 or ati radeon hd 7950
диск,30 gb,диск,30 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Warzone VR,windows_min_Warzone VR
операционная система,10
процессор,i5-4590
оперативная память,8 gb
видео карта,nvidia gtx 970
directx,version 12
сеть,широкополосное подключение
,
windows_min_Shadow of the Tomb Raider - Fear Incarnate Gear,windows_min_Shadow of the Tomb Raider - Fear Incarnate Gear,windows_req_Shadow of the Tomb Raider - Fear Incarnate Gear,windows_req_Shadow of the Tomb Raider - Fear Incarnate Gear
операционная система,windows 7,операционная система,windows 10
процессор,i3-3220 intel or amd equivalent,процессор,"intel core i7 4770k, 3.40 ghz or amd ryzen 5 1600, 3.20 ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 / gtx 1050 or amd radeon hd 7770,видео карта,"nvidia gtx 1060 6gb or amd radeon rx 480, 8gb"
directx,version 11,directx,version 12
,,,
windows_min_Extinction: Ravenii Rampage,windows_min_Extinction: Ravenii Rampage,windows_req_Extinction: Ravenii Rampage,windows_req_Extinction: Ravenii Rampage
операционная система,windows 7/8.1/10,операционная система,windows 7/8.1/10
процессор,intel core i5-760 2.8 ghz / amd athlon x4 740 3.2 ghz,процессор,intel core i7-4771 3.5 ghz / amd fx-9370 4.4 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 (2 gb vram) / amd radeon hd 7870 (2 gb vram),видео карта,nvidia geforce gtx 970 (4 gb vram) / amd radeon rx 470 (4 gb vram)
directx,version 11,directx,version 11
,,,
windows_min_Dolphin Up,windows_min_Dolphin Up,macos_min_Dolphin Up,macos_min_Dolphin Up,linux_min_Dolphin Up,linux_min_Dolphin Up
операционная система,windows 7,операционная система,os x 10.6,операционная система,ubuntu 16.04
процессор,intel core 2 duo equivalent,процессор,2.5 ghz intel core i5,процессор,2.5 ghz intel core i5
оперативная память,2 gb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,"intel hd 4000, opengl 2 compatible",видео карта,intel hd 4000,видео карта,open gl compatible graphics card
диск,55 mb,диск,67 mb,диск,55 mb
,,,,,
windows_min_Epic Skater 2,windows_min_Epic Skater 2,windows_req_Epic Skater 2,windows_req_Epic Skater 2
операционная система,windows vista,операционная система,windows 8.1
процессор,2.4 ghz intel i3,процессор,2.4 ghz intel i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gt 460 or amd radeon hd 5550 w/ 1024 mb,видео карта,nvidia gtx 660 ti or amd radeon hd 7870 w/ 1024 mb
диск,500 mb,диск,1 gb
,,,
windows_min_Rum Ram,windows_min_Rum Ram,windows_req_Rum Ram,windows_req_Rum Ram
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i7-2820qm,процессор,intel core i5-7400
оперативная память,2 gb,оперативная память,6 gb
видео карта,nvidia geforce gt555m,видео карта,geforce gtx1050
диск,300 mb,диск,300 mb
,,,
windows_min_Tech Support 2077,windows_min_Tech Support 2077
операционная система,windows 10
процессор,intel core i5-4590 (amd fx 8350)
оперативная память,16 gb
видео карта,geforce gtx 970 (amd radeon r9 290)
,
windows_min_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_min_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_req_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_req_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51
операционная система,"windows vista ,7, 8, windows 10",операционная система,"windows vista ,7, 8, windows 10"
процессор,pentium 4 1 ghz (),процессор,pentium 4 2.66 ghz ()
оперативная память,5 gb,оперативная память,8 gb
видео карта,ati or nvidia card 512 mb,видео карта,"nvidia gtx 970 4gb, amd radeon r9 290 4gb"
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
звуковая карта,directx 9.0 compatible sound card,звуковая карта,directx 9.0 compatible sound card
,,,
