windows_min_Tiger Striker,windows_min_Tiger Striker
операционна€ система,windows 10
процессор,pentium 4 2.80ghz
оперативна€ пам€ть,1 gb
видео карта,direct3d support
directx,version 12
диск,1 gb
,
windows_min_InjusticeЩ 2 - Fighter Pack 3,windows_min_InjusticeЩ 2 - Fighter Pack 3,windows_req_InjusticeЩ 2 - Fighter Pack 3,windows_req_InjusticeЩ 2 - Fighter Pack 3
операционна€ система,windows 7 / windows 10,операционна€ система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzenЩ 3 1200, 3.1 ghz",процессор,"intel core i3-2100, 3.10 ghz / amd fx-6300, 3.5 ghz or amd ryzenЩ 5 1400, 3.2 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx 670 or nvidia geforceЩ gtx 1050 / amd radeonЩ hd 7950 or amd radeonЩ r9 270,видео карта,nvidia geforceЩ gtx 780 or nvidia geforceЩ gtx 1060-6gb / amd radeonЩ r9 290 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_All-Star Fruit Racing,windows_min_All-Star Fruit Racing,windows_req_All-Star Fruit Racing,windows_req_All-Star Fruit Racing
операционна€ система,windows 10 / 8 / 7,операционна€ система,windows 10 / 8 / 7
процессор,intel core i5-2500k 3.3ghz / amd fx-8150 3.6ghz,процессор,intel core i5-4460 3.2 ghz / amd ryzen 5 1600x 3.6ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 550 ti / radeon hd 6790 2gb vram*,видео карта,geforce gtx 960 / radeon hd 7950 3gb vram*
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звукова€ карта,directx compatible soundcard,звукова€ карта,directx compatible soundcard
,,,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC8 Variety Pack 2,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC8 Variety Pack 2,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC8 Variety Pack 2,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC8 Variety Pack 2
операционна€ система,windows xp or higher with latest service pack,операционна€ система,windows 7 or higher with latest service pack
процессор,2.3 ghz dual core or amd,процессор,"intel i3-530, 2.93ghz / amd phenom ii x4 940, 3.0ghz"
оперативна€ пам€ть,1 mb,оперативна€ пам€ть,4 mb
