windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
операционная система,kernel 4.20 ubuntu (subject to change),операционная система,kernel 4.20 ubuntu (subject to change)
оперативная память,1 gb,оперативная память,—
видео карта,nvidia quadro fx 1700,видео карта,gtx960 or higher
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_MGSStreamGames,windows_min_MGSStreamGames,windows_req_MGSStreamGames,windows_req_MGSStreamGames
операционная система,windows 8,операционная система,windows 10
процессор,i5 4570,процессор,i9 9900k
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx770 or amd equivalent,видео карта,nvidia gtx 2060 or amd equivalent
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,12 gb
,,,
windows_min_Book of Yog Idle RPG,windows_min_Book of Yog Idle RPG,windows_req_Book of Yog Idle RPG,windows_req_Book of Yog Idle RPG
операционная система,"windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,intel core-i3 or faster,процессор,intel core-i5 or faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,any type,видео карта,any type
directx,version 9.0,directx,version 9.0
диск,400 mb,диск,1 gb
,,,
windows_min_Area 51 Defense,windows_min_Area 51 Defense,windows_req_Area 51 Defense,windows_req_Area 51 Defense
операционная система,windows 7,операционная система,windows 7
процессор,intel 2.60 ghz quad-core,процессор,intel 3.40 ghz i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 400,видео карта,nvidia geforce gtx 560 or above
directx,version 9.0,directx,version 11
диск,400 mb,диск,400 mb
звуковая карта,any,звуковая карта,any
,,,
windows_min_Metal Drift,windows_min_Metal Drift
операционная система,windows
процессор,1.8 ghz
оперативная память,1 gb
видео карта,directx 9 128mb video
directx®,9.0c
диск,250 mb
,
windows_min_Ashes of Creation Apocalypse,windows_min_Ashes of Creation Apocalypse,windows_req_Ashes of Creation Apocalypse,windows_req_Ashes of Creation Apocalypse
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-2125 3.3ghz / amd phenom ii x4 3.3ghz,процессор,intel core i7-6700k 4.0ghz / amd fx-9590 4.7ghz
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 460 or amd radeon 6870 hd with 1gb,видео карта,nvidia geforce gtx 970 or amd radeon r9 fury with 4gb
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
windows_min_Medieval Story,windows_min_Medieval Story,windows_req_Medieval Story,windows_req_Medieval Story
операционная система,windows 7,операционная система,windows 10
процессор,intel from 2.0 ghz amd family,процессор,intel core i5
оперативная память,2 gb,оперативная память,8 gb
видео карта,opengl 2.1 capable graphics card.,видео карта,opengl 2.1 capable graphics card.
диск,800 mb,диск,1 gb
,,,
windows_min_TwelveSky 2 Classic,windows_min_TwelveSky 2 Classic,windows_req_TwelveSky 2 Classic,windows_req_TwelveSky 2 Classic
операционная система,"windows 98, xp, 2000, vista",операционная система,"windows 98, xp, 2000, vista"
процессор,pentium iii 800 mhz,процессор,pentium iv 2.4 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"geforce fx 5200 or radeon 7600 64 mb,: 512 mb",видео карта,"geforce fx 5600 or radeon 9500 128 mb,: 1gb"
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,—
,,,
