windows_min_Lost God,windows_min_Lost God,windows_req_Lost God,windows_req_Lost God
операционная система,windows 7,операционная система,"windows 7 (), windows 10 ()"
процессор,dual core cpu 2.0 ghz,процессор,quad core cpu 2.5 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti,видео карта,nvidia geforce gtx 950
directx,version 9.0,directx,version 11
,,,
windows_min_Bloodbath,windows_min_Bloodbath
операционная система,windows vista / 7 / 8
процессор,intel core™ i3 / amd athlon™ 64 x2 or higher
оперативная память,2 gb
видео карта,nvidia geforce™ 8800 gts / amd radeon™ hd 3850
directx,version 9.0c
,
windows_min_Criminal Pursuit Force,windows_min_Criminal Pursuit Force,windows_req_Criminal Pursuit Force,windows_req_Criminal Pursuit Force
операционная система,windows vista (service pack 2 and all available windows updates) 32-bit,операционная система,windows 7 (service pack 1 and all available windows updates)
процессор,2 ghz dual core (core 2 duo 2.4 ghz or althon x2 2.7 ghz),процессор,quad-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10.0 compatible with 1 gb (nvidia geforce 8, 9, 200, 300, 400 or 500 series with nvidia geforce 8800 gt or higher performance)",видео карта,directx 11 compatible with 1024 mb (nvidia geforce gtx 560 or ati radeon 6950)
directx,version 10,directx,version 11
диск,20 gb,диск,20 mb
,,,
windows_min_Tides of Existence,windows_min_Tides of Existence,windows_req_Tides of Existence,windows_req_Tides of Existence
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 3770 3.4 ghz / amd cpu amd fx-8350 4 ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia gpu geforce gtx 660 / amd gpu radeon hd 7870,видео карта,nvidia gpu geforce gtx 770 / amd gpu radeon r9 290
,,,
windows_min_Princess Kaguya: Legend of the Moon Warrior,windows_min_Princess Kaguya: Legend of the Moon Warrior
операционная система,windows 7/8/8.1
процессор,2 ghz
оперативная память,2 gb
видео карта,directx compatible card
directx,version 11
диск,1 gb
,
windows_min_SCP: Secret Laboratory,windows_min_SCP: Secret Laboratory,windows_req_SCP: Secret Laboratory,windows_req_SCP: Secret Laboratory
операционная система,"windows 7 sp 1, 8.1 or 10;",операционная система,windows 8.1 or 10;
процессор,"intel core i3, 2 threads, 2 ghz",процессор,"intel core i5, 4 threads, 3 ghz"
оперативная память,3 gb,оперативная память,4 gb
видео карта,geforce gt 720 1gb vram; dx11 required; intel graphics not supported,видео карта,geforce gtx 1050 ti 2gb vram; dx11 required; intel graphics not supported
directx,version 11,directx,version 11
,,,
windows_min_Rigid Force Alpha,windows_min_Rigid Force Alpha,windows_req_Rigid Force Alpha,windows_req_Rigid Force Alpha
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3 2.5 ghz quad core or comparable,процессор,intel core i5 3.4 ghz quad core or comparable
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 700 or comparable,видео карта,nvidia geforce gtx 970 or comparable
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,1 gb
,,,
windows_min_Iron League,windows_min_Iron League,windows_req_Iron League,windows_req_Iron League
операционная система,windowsxp sp3,операционная система,windows &
процессор,2ghz,процессор,3 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia gt 530 / radeon hd 7540d video card,видео карта,nvidia gt 730 / radeon hd 5750 video card
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,4 gb
,,,
windows_min_Sniper Fury,windows_min_Sniper Fury,windows_req_Sniper Fury,windows_req_Sniper Fury
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel cpu core 2 duo (2.9 ghz) or amd equivalent,процессор,intel core i5 or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8500 gt,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Flash Point - Online FPS,windows_min_Flash Point - Online FPS,windows_req_Flash Point - Online FPS,windows_req_Flash Point - Online FPS
операционная система,10.9.x,операционная система,10.10.x
процессор,intel i3,процессор,intel i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon™ rx 460 graphics or nvidia equivalent,видео карта,radeon™ rx 560 graphics or nvidia equivalent
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Anima: Gate of Memories - The Nameless Chronicles,windows_min_Anima: Gate of Memories - The Nameless Chronicles,windows_req_Anima: Gate of Memories - The Nameless Chronicles,windows_req_Anima: Gate of Memories - The Nameless Chronicles
операционная система,windows xp,операционная система,windows 7
процессор,dual core,процессор,quad core
оперативная память,4 gb,оперативная память,4 gb
видео карта,compatible with directx9 with 512 mb (nvidia geforce gtx 460 / ati radeon hd 5850 ),видео карта,—
directx,version 9.0,directx,version 9.0
,,,
windows_min_The war god : The artifact,windows_min_The war god : The artifact,windows_req_The war god : The artifact,windows_req_The war god : The artifact
операционная система,windows 7,операционная система,windows 10
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx970,видео карта,gtx980
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Disney•Pixar Cars Toon: Mater's Tall Tales,windows_min_Disney•Pixar Cars Toon: Mater's Tall Tales
операционная система,microsoft windows xp sp3
процессор,"intel pentium 4 2.4 ghz, amd 3000 or intel core 2 1.8"
оперативная память,1 gb
видео карта,128 mb opengl 3d video card supporting shaders 2.0 (nvidia geforce fx 5600 )
directx,version 9.0c
диск,5 gb
звуковая карта,9.0c-compatible sound card
,
windows_min_Survive,windows_min_Survive
операционная система,windows 7 or higher
процессор,3.4 ghz i3
оперативная память,8 gb
видео карта,1 gb or higher
,
windows_min_Hot And Lovely,windows_min_Hot And Lovely
операционная система,windows7/8/10
процессор,intel core i5
оперативная память,4 gb
,
windows_min_No Plan B,windows_min_No Plan B,macos_min_No Plan B,macos_min_No Plan B,linux_min_No Plan B,linux_min_No Plan B
операционная система,windows 7 sp1+,операционная система,macos 10.12+,операционная система,ubuntu 16.04+
процессор,2.2 ghz dual core,процессор,2.2 ghz dual core,процессор,2.2 ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+",видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+",видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+"
directx,version 10,диск,200 mb,диск,200 mb
,,,,,
windows_min_Chaos,windows_min_Chaos,windows_req_Chaos,windows_req_Chaos
операционная система,"windows 7, 8, 10",операционная система,windows 10
процессор,intel core i5-6400 / amd ryzen 5 1400,процессор,intel cpu core i7 7700 / amd ryzen 7 1700x
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 950 / amd radeon r7 370 2gb graphics memory minimum,видео карта,nvidia gtx 1060 / amd rx580
directx,version 10,directx,version 12
диск,5 gb,диск,5 gb
звуковая карта,windows compatible sound card,звуковая карта,windows compatible soundcard
,,,
