windows_min_Cubic Kill Array,windows_min_Cubic Kill Array
операционная система,windows xp / windows vista / windows 7/windows 10
процессор,3.2ghz
оперативная память,4 gb
видео карта,gt430 2g
directx,version 9.0
,
windows_min_Space Thinger,windows_min_Space Thinger
операционная система,ubuntu 12.04 lts (or similar)
процессор,1.7 ghz dual core
оперативная память,2 gb
видео карта,opengl 2.0 compatible 3d graphics card / i3 or above integrated graphics.
directx,version 9.0c
,
windows_min_Iridion II,windows_min_Iridion II
операционная система,windows 7
процессор,1.5 ghz
оперативная память,1 gb
видео карта,100% directx compatible graphics
,
windows_min_Pocket Cars,windows_min_Pocket Cars,windows_req_Pocket Cars,windows_req_Pocket Cars
операционная система,ubuntu 12.04,операционная система,ubuntu 14.10
процессор,intel i5-2300 / amd fx-4300,процессор,intel i7-4770 / amd fx-8350
оперативная память,4 gb,оперативная память,6 gb
видео карта,geforce gtx 560 / radeon r7 260,видео карта,geforce gtx 1070 / radeon rx vega 56
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
,,,
windows_min_HotFloor,windows_min_HotFloor
операционная система,windows xp+
процессор,2.0ghz dual core
оперативная память,2 gb
видео карта,512mb dx9 (shader model 3.0)
,
windows_min_Painted Memories,windows_min_Painted Memories,windows_req_Painted Memories,windows_req_Painted Memories
операционная система,windows vista,операционная система,windows 7
процессор,core i3 / amd a6 2.4ghz,процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,nvidia gtx 760
directx,version 10,directx,version 11
,,,
windows_min_Run Away,windows_min_Run Away
операционная система,windows 10 home
процессор,2.0 ghz
оперативная память,2 gb
видео карта,512 mb vram
directx,version 10
,
windows_min_TimeCluster,windows_min_TimeCluster
операционная система,windows 10
процессор,"intel™ core™ i5-4590 or amd fx™ 8350, equivalent"
оперативная память,8 gb
видео карта,"nvidia geforce™ gtx 1060 or amd radeon™ rx 480, equivalent"
,
windows_min_Destroy The World,windows_min_Destroy The World
операционная система,10.11+
оперативная память,2 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10
,
windows_min_Zenodyne R,windows_min_Zenodyne R,windows_req_Zenodyne R,windows_req_Zenodyne R
операционная система,windows vista and higher,операционная система,windows vista and higher
процессор,"1,8 ghz single core",процессор,2 ghz single core
оперативная память,512 mb,оперативная память,—
видео карта,pixel and vertex shader 2.0,видео карта,pixel and vertex shader 3.0
directx,version 9.0,directx,version 9.0
диск,200 mb,диск,200 mb
,,,
windows_min_Art Heist,windows_min_Art Heist
операционная система,windows 10
процессор,"intel i3-6100 / amd ryzen 3 1200, fx4350"
оперативная память,8 gb
видео карта,nvidia gtx 1050 ti / amd radeon rx 470
диск,260 mb
,
