windows_min_UnderWater Adventure,windows_min_UnderWater Adventure
операционная система,windows 7 / 8 / 10
процессор,i5 2.4ghz
оперативная память,4 gb
видео карта,geforce gtx 635
directx,version 9.0
диск,400 mb
,
windows_min_Military Service,windows_min_Military Service,windows_req_Military Service,windows_req_Military Service
операционная система,—,операционная система,—
directx,version 11,directx,—
,,,
windows_min_Glass Wing,windows_min_Glass Wing
операционная система,8
процессор,intel(r) core(tm) i7-4510u
оперативная память,8 mb
видео карта,amd radeon hd 7420g
,
windows_min_Demon Blast,windows_min_Demon Blast
операционная система,windows 7
процессор,"dualcore amd athlon 64 x2, 2900 mhz 5600+"
оперативная память,2 gb
видео карта,nvidia geforce gt 440 1gb
directx,version 9.0
,
windows_min_Battle Bolts,windows_min_Battle Bolts,windows_req_Battle Bolts,windows_req_Battle Bolts
операционная система,windows 7 32-bit,операционная система,windows 10
процессор,dual-core from intel (i3-series) or amd (phenom ii) at 3.0 ghz,процессор,quad-core from intel (i5 / i7-series) or amd (phenom ii) at 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce 7800 / 7900/8600 series, ati/amd radeon hd2600/3600 or 1800/x1900 series",видео карта,"nvidia geforce 480 / 580 gtx, ati/amd radeon hd 5870/6970"
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,800 mb,диск,800 mb
,,,
windows_min_OK K.O.! Let’s Play Heroes,windows_min_OK K.O.! Let’s Play Heroes,windows_req_OK K.O.! Let’s Play Heroes,windows_req_OK K.O.! Let’s Play Heroes
операционная система,7 - 64bit,операционная система,10 - 64bit
процессор,intel i3,процессор,intel i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia 680 or higher,видео карта,nvidia 960 or higher
directx,version 10,directx,version 12
,,,
windows_min_Invicta Beam,windows_min_Invicta Beam,windows_req_Invicta Beam,windows_req_Invicta Beam
операционная система,windows 7/8/8.1/10,операционная система,windows 7/8/8.1/10
процессор,intel core i3 2ghz,процессор,intel core i5 2ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce 750, ati radeon r7 260x",видео карта,nvidia geforce 760 or higher
,,,
windows_min_Sea Dogs: Caribbean Tales,windows_min_Sea Dogs: Caribbean Tales,windows_req_Sea Dogs: Caribbean Tales,windows_req_Sea Dogs: Caribbean Tales
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,windows xp / vista / 7 / 8 / 10
процессор,1.8 ghz,процессор,1.8 ghz
видео карта,512mb,видео карта,1 gb
directx,version 9.0a,directx,version 9.0a
диск,2 gb,диск,2 gb
,,,
windows_min_Talent Not Included,windows_min_Talent Not Included
операционная система,mac os x 10.8
процессор,intel core 2 duo merom @ 2.2 ghz (t7500)
оперативная память,2 gb
видео карта,nvidia geforce 8600m gt (256 mb)
,
windows_min_BattleRush: Ardennes Assault,windows_min_BattleRush: Ardennes Assault,windows_req_BattleRush: Ardennes Assault,windows_req_BattleRush: Ardennes Assault
операционная система,windows 7/8/10 32-bit,операционная система,windows 7/8/10
процессор,"intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 3 ghz or faster"
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce 1050 gtx or amd radeon rx560 series card or higher
directx,version 11,directx,version 11
