windows_min_Ball 2D: Soccer Online,windows_min_Ball 2D: Soccer Online
операционная система,mac os x 10.8
процессор,2.0 ghz
оперативная память,512 mb
видео карта,nvidia geforce 8800 / ati radeon x1600
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_America's Army 3,windows_min_America's Army 3,windows_req_America's Army 3,windows_req_America's Army 3
операционная система,microsoft windows xp sp2/vista,операционная система,microsoft windows xp sp2/vista
процессор,3.0 ghz single core,процессор,2.4 ghz dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,"direct x 9.0c compliant, shader 3.0 enabled video card with 256mb (nvidia 6600 / ati x1300 )",видео карта,"direct x 9.0c compliant, shader 3.0 enabled video card with 512mb (nvidia 7950 / ati x1950 )"
directx,directx 9.0c,directx,directx 9.0c
звуковая карта,direct x 9.0c compliant sound card,звуковая карта,"creative eax 4.0 compliant sound card (audigy 2, x-fi series)"
диск,5 gb of available hard disk space,диск,5 gb of available hard disk space
устройства ввода,keyboard and mouse,устройства ввода,keyboard and mouse
,,,
windows_min_Mortal Online,windows_min_Mortal Online,windows_req_Mortal Online,windows_req_Mortal Online
операционная система,windows 7 x64,операционная система,windows 10 x64
процессор,dual core 2.4ghz,процессор,quad core 3.4ghz
оперативная память,6 gb,оперативная память,8 gb
directx,version 9.0,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Thousand Threads,windows_min_Thousand Threads
операционная система,mac os 10.13 or higher
процессор,intel core i5 2.00 ghz
оперативная память,4 gb
видео карта,intel hd 5000 series
directx,version 11
,
windows_min_Dracula: Vampires vs. Zombies,windows_min_Dracula: Vampires vs. Zombies,windows_req_Dracula: Vampires vs. Zombies,windows_req_Dracula: Vampires vs. Zombies
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970,видео карта,gtx 980
,,,
windows_min_Color Symphony 2,windows_min_Color Symphony 2,macos_min_Color Symphony 2,macos_min_Color Symphony 2,linux_min_Color Symphony 2,linux_min_Color Symphony 2
операционная система,windows xp,операционная система,osx 10.7,операционная система,steamos or ubuntu 12.04+
процессор,2.0 ghz or faster,процессор,2.0 ghz or faster,процессор,2.0 ghz or faster
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,directx 9.0c compatible video card with shader model 2.0 support,видео карта,opengl 2.0 compatible video card,видео карта,opengl 2.0 compatible video card
directx,version 9.0c,диск,150 mb,диск,150 mb
диск,150 mb,,,,
,,,,,
windows_min_Combat Rush,windows_min_Combat Rush,windows_req_Combat Rush,windows_req_Combat Rush
операционная система,windows xp and later,операционная система,windows 7 and later
процессор,2.33ghz or faster x86-compatible,процессор,3.10ghz or faster x86-compatible
оперативная память,4 gb,оперативная память,8 gb
видео карта,2005 graphics card,видео карта,2010 graphics card
directx,version 9.0,directx,version 9.0
диск,500 mb,диск,500 mb
,,,
windows_min_Operation swat,windows_min_Operation swat,windows_req_Operation swat,windows_req_Operation swat
операционная система,windows 7,операционная система,windows 10
процессор,i3,процессор,i3
оперативная память,2 mb,оперативная память,4 mb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.
,,,
windows_min_This Means Warp,windows_min_This Means Warp,windows_req_This Means Warp,windows_req_This Means Warp
операционная система,windows 7,операционная система,windows 10
процессор,intel core i7-8550u (4 * 1800) / amd ryzen 7 2700u (4 * 2200),процессор,intel core i5-6600k (4 * 3500) / amd ryzen 5 2500u (4 * 2000)
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel hd graphics 620 / vega 10,видео карта,geforce gtx 960 (4096 vram) / radeon rx 560x (4096 vram)
диск,1 gb,диск,1 gb
,,,
windows_min_STRIKERS 1945,windows_min_STRIKERS 1945
операционная система,windows 10
процессор,core i5 1.7ghz
оперативная память,4 gb
видео карта,intel hd graphics 4000
,
windows_min_AeternoBlade,windows_min_AeternoBlade
операционная система,"windows 7, 8.1, 10"
процессор,intel core i3
оперативная память,2 gb
видео карта,nvidia geforce gtx 460
,
windows_min_CONSORTIUM: The Tower,windows_min_CONSORTIUM: The Tower
операционная система,windows 7/8/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320
оперативная память,8 gb
видео карта,nvidia gtx 960 2gb / amd radeon rx 560 3gb
,
windows_min_Player Goes Jump,windows_min_Player Goes Jump,windows_req_Player Goes Jump,windows_req_Player Goes Jump
операционная система,windows 7,операционная система,"windows 7, 8 or 10"
процессор,intel core i3,процессор,intel core i5
оперативная память,500 mb,оперативная память,2 gb
видео карта,intel on-board graphics,видео карта,nvidia geforce gtx 480
directx,version 11,directx,version 11
диск,200 mb,диск,200 mb
звуковая карта,intel on-board sound card,звуковая карта,intel on-board sound card
,,,
windows_min_Narco Strike,windows_min_Narco Strike,windows_req_Narco Strike,windows_req_Narco Strike
операционная система,windows xp o 2000,операционная система,windows 7 or higher
процессор,"intel pentium 4 a 2.0 ghz, amd athlon xp o procesade",процессор,intel pentium 4 a 2.4 ghz o equivalente
оперативная память,512 mb,оперативная память,1 gb
видео карта,intel graphics media accelerator 950,видео карта,ati radeon x800 / nvidia geforce 7600 / intel hd graphics 2000 or higher
диск,1 gb,диск,2 gb
,,,
windows_min_ZIC: Survival,windows_min_ZIC: Survival
операционная система,"windows 8.1 (), windows 7 (32 & ), windows vista (32 & )"
процессор,amd athlon 64 3200+ / intel pentium 4 3200+
оперативная память,1 gb
